allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref
AL000001,EV000002,CPL-R00001,17521,USD,2022-08-18T15:02:17-05:00,CPL/demo/allocations/00002
AL000002,EV000004,CPL-R00002,13320,USD,2023-07-18T15:10:29-05:00,CPL/demo/allocations/00004
AL000003,EV000007,CPL-R00004,19217,USD,2023-06-28T12:18:00-05:00,CPL/demo/allocations/00007
AL000004,EV000009,CPL-R00005,20106,USD,2023-07-20T14:23:29-05:00,CPL/demo/allocations/00009
AL000005,EV000011,CPL-R00006,11958,USD,2022-08-08T22:11:50-05:00,CPL/demo/allocations/00011
AL000006,EV000015,CPL-R00008,8036,USD,2023-03-31T18:38:31-05:00,CPL/demo/allocations/00015
AL000007,EV000017,CPL-R00009,5411,USD,2023-10-02T13:25:00-05:00,CPL/demo/allocations/00017
AL000008,EV000024,CPL-R00013,5004,USD,2023-10-23T17:55:39-05:00,CPL/demo/allocations/00024
AL000009,EV000026,CPL-R00014,12124,USD,2022-11-18T11:20:10-06:00,CPL/demo/allocations/00026
AL000010,EV000029,CPL-R00016,7726,USD,2022-10-03T12:39:20-05:00,CPL/demo/allocations/00029
AL000011,EV000031,CPL-R00017,13092,USD,2022-08-29T21:53:09-05:00,CPL/demo/allocations/00031
AL000012,EV000033,CPL-R00018,11939,USD,2022-10-21T22:06:35-05:00,CPL/demo/allocations/00033
AL000013,EV000035,CPL-R00019,10456,USD,2023-02-24T00:48:37-06:00,CPL/demo/allocations/00035
AL000014,EV000039,CPL-R00022,6559,USD,2022-12-30T03:53:52-06:00,CPL/demo/allocations/00039
AL000015,EV000041,CPL-R00023,9072,USD,2023-07-04T15:33:12-05:00,CPL/demo/allocations/00041
AL000016,EV000043,CPL-R00024,10731,USD,2023-10-06T19:37:01-05:00,CPL/demo/allocations/00043
AL000017,EV000045,CPL-R00025,27610,USD,2022-07-21T22:20:24-05:00,CPL/demo/allocations/00045
AL000018,EV000050,CPL-R00028,37472,USD,2023-03-16T01:07:48-05:00,CPL/demo/allocations/00050
AL000019,EV000054,CPL-R00031,59848,USD,2023-08-01T17:05:58-05:00,CPL/demo/allocations/00054
AL000020,EV000056,CPL-R00032,5056,USD,2023-07-26T08:31:03-05:00,CPL/demo/allocations/00056
AL000021,EV000058,CPL-R00033,18704,USD,2023-04-06T14:53:46-05:00,CPL/demo/allocations/00058
AL000022,EV000060,CPL-R00034,36864,USD,2023-09-14T05:51:17-05:00,CPL/demo/allocations/00060
AL000023,EV000064,CPL-R00036,13410,USD,2022-12-13T18:58:11-06:00,CPL/demo/allocations/00065
AL000024,EV000064,CPL-R00037,8294,USD,2022-12-12T22:16:09-06:00,CPL/demo/allocations/00065
AL000025,EV000068,CPL-R00039,2848,USD,2023-09-21T14:31:51-05:00,CPL/demo/allocations/00068
AL000026,EV000070,CPL-R00040,4953,USD,2023-09-06T21:42:47-05:00,CPL/demo/allocations/00071
AL000027,EV000070,CPL-R00041,3614,USD,2023-09-04T10:31:53-05:00,CPL/demo/allocations/00071
AL000028,EV000077,CPL-R00044,15119,USD,2022-12-06T18:51:23-06:00,CPL/demo/allocations/00077
AL000029,EV000081,CPL-R00047,91583,USD,2023-07-17T21:29:33-05:00,CPL/demo/allocations/00081
AL000030,EV000083,CPL-R00048,20133,USD,2023-05-05T09:30:37-05:00,CPL/demo/allocations/00083
AL000031,EV000085,CPL-R00049,11012,USD,2023-02-20T23:52:29-06:00,CPL/demo/allocations/00085
AL000032,EV000087,CPL-R00050,8452,USD,2023-01-19T12:28:53-06:00,CPL/demo/allocations/00088
AL000033,EV000087,CPL-R00051,6458,USD,2023-01-22T17:21:38-06:00,CPL/demo/allocations/00088
AL000034,EV000092,CPL-R00053,13485,USD,2022-10-26T23:39:24-05:00,CPL/demo/allocations/00092
AL000035,EV000094,CPL-R00054,18312,USD,2023-07-27T20:47:00-05:00,CPL/demo/allocations/00094
AL000036,EV000096,CPL-R00055,15058,USD,2023-08-04T06:14:11-05:00,CPL/demo/allocations/00096
AL000037,EV000098,CPL-R00056,22887,USD,2022-10-15T06:34:33-05:00,CPL/demo/allocations/00098
AL000038,EV000100,CPL-R00057,11493,USD,2023-01-24T16:43:07-06:00,CPL/demo/allocations/00100
AL000039,EV000102,CPL-R00058,16246,USD,2023-02-16T17:04:35-06:00,CPL/demo/allocations/00102
AL000040,EV000105,CPL-R00060,9561,USD,2022-08-23T21:58:48-05:00,CPL/demo/allocations/00105
AL000041,EV000107,CPL-R00061,26519,USD,2022-12-19T17:12:38-06:00,CPL/demo/allocations/00107
AL000042,EV000113,CPL-R00065,9049,USD,2023-06-26T15:47:01-05:00,CPL/demo/allocations/00113
AL000043,EV000116,CPL-R00066,14090,USD,2023-05-15T16:47:33-05:00,CPL/demo/allocations/00116
AL000044,EV000118,CPL-R00067,16355,USD,2023-01-03T16:46:26-06:00,CPL/demo/allocations/00118
AL000045,EV000123,CPL-R00070,3442,USD,2023-07-27T23:10:03-05:00,CPL/demo/allocations/00123
AL000046,EV000125,CPL-R00071,27743,USD,2022-08-26T02:01:23-05:00,CPL/demo/allocations/00125
AL000047,EV000127,CPL-R00072,9306,USD,2022-10-15T07:19:57-05:00,CPL/demo/allocations/00127
AL000048,EV000129,CPL-R00073,17702,USD,2023-03-03T16:10:01-06:00,CPL/demo/allocations/00129
AL000049,EV000133,CPL-R00075,3605,USD,2022-10-25T18:51:59-05:00,CPL/demo/allocations/00133
AL000050,EV000135,CPL-R00076,3531,USD,2023-02-06T09:57:00-06:00,CPL/demo/allocations/00136
AL000051,EV000135,CPL-R00077,2876,USD,2023-02-07T14:02:16-06:00,CPL/demo/allocations/00136
AL000052,EV000138,CPL-R00078,6403,USD,2022-07-29T17:47:35-05:00,CPL/demo/allocations/00138
AL000053,EV000140,CPL-R00079,78367,USD,2023-04-24T17:27:42-05:00,CPL/demo/allocations/00140
AL000054,EV000142,CPL-R00080,39561,USD,2023-03-12T07:48:25-05:00,CPL/demo/allocations/00142
AL000055,EV000144,CPL-R00081,77734,USD,2023-05-15T18:01:22-05:00,CPL/demo/allocations/00144
AL000056,EV000146,CPL-R00082,11877,USD,2023-04-01T10:19:57-05:00,CPL/demo/allocations/00146
AL000057,EV000148,CPL-R00083,23001,USD,2023-06-19T17:34:13-05:00,CPL/demo/allocations/00148
AL000058,EV000150,CPL-R00084,12480,USD,2023-02-03T17:00:36-06:00,CPL/demo/allocations/00150
AL000059,EV000152,CPL-R00085,5261,USD,2022-10-03T13:21:02-05:00,CPL/demo/allocations/00152
AL000060,EV000154,CPL-R00086,2695,USD,2023-02-21T10:18:06-06:00,CPL/demo/allocations/00154
AL000061,EV000156,CPL-R00087,4011,USD,2022-10-19T23:00:57-05:00,CPL/demo/allocations/00156
AL000062,EV000158,CPL-R00088,39371,USD,2022-12-21T18:10:43-06:00,CPL/demo/allocations/00158
AL000063,EV000160,CPL-R00089,11487,USD,2023-05-13T02:53:28-05:00,CPL/demo/allocations/00160
AL000064,EV000162,CPL-R00090,13916,USD,2022-10-12T17:27:21-05:00,CPL/demo/allocations/00162
AL000065,EV000166,CPL-R00092,4000,USD,2022-12-10T15:21:14-06:00,CPL/demo/allocations/00167
AL000066,EV000166,CPL-R00093,3818,USD,2022-12-18T07:14:20-06:00,CPL/demo/allocations/00167
AL000067,EV000169,CPL-R00094,4630,USD,2023-03-13T19:09:03-05:00,CPL/demo/allocations/00169
AL000068,EV000173,CPL-R00096,14050,USD,2023-06-01T23:05:10-05:00,CPL/demo/allocations/00173
AL000069,EV000175,CPL-R00097,12282,USD,2022-08-24T01:40:16-05:00,CPL/demo/allocations/00175
AL000070,EV000177,CPL-R00098,4441,USD,2022-11-07T19:27:52-06:00,CPL/demo/allocations/00177
AL000071,EV000179,CPL-R00099,44257,USD,2023-07-06T05:52:33-05:00,CPL/demo/allocations/00179
AL000072,EV000182,CPL-R00101,6653,USD,2022-11-04T18:03:04-05:00,CPL/demo/allocations/00182
AL000073,EV000184,CPL-R00102,11115,USD,2023-10-28T19:49:23-05:00,CPL/demo/allocations/00184
AL000074,EV000186,CPL-R00103,4922,USD,2023-03-09T16:41:19-06:00,CPL/demo/allocations/00186
AL000075,EV000188,CPL-R00104,7672,USD,2022-11-28T11:27:22-06:00,CPL/demo/allocations/00188
AL000076,EV000190,CPL-R00105,68883,USD,2022-12-16T21:17:37-06:00,CPL/demo/allocations/00190
AL000077,EV000195,CPL-R00107,1515,USD,2022-09-09T17:13:18-05:00,CPL/demo/allocations/00196
