event_id,org_token,source_system,bill_record_id,event_type,event_at,available_at,amount_minor,currency,reverses_event_id,terminal_flag,source_ref
EV000001,CPL,CPL_BILLING,CPL-R00001,SUBMITTED,2022-08-09T14:12:00-05:00,2022-08-09T17:51:28-05:00,17521,USD,,false,CPL/demo/events/00001
EV000002,CPL,CPL_BILLING,,PAYMENT_POSTED,2022-08-18T08:24:00-05:00,2022-08-18T10:17:42-05:00,17521,USD,,false,CPL/demo/events/00002
EV000003,CPL,CPL_BILLING,CPL-R00002,SUBMITTED,2023-07-11T12:53:00,2023-07-11T14:12:07,13320,USD,,false,CPL/demo/events/00003
EV000004,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-07-18T11:19:00-05:00,2023-07-18T15:07:34-05:00,13320,USD,,false,CPL/demo/events/00004
EV000005,CPL,CPL_BILLING,CPL-R00003,SUBMITTED,2023-06-16T15:26:00-05:00,2023-06-20T07:36:19-05:00,15960,USD,,false,CPL/demo/events/00005
EV000006,CPL,CPL_BILLING,CPL-R00004,CORRECTED,2023-06-26T15:39:00-05:00,2023-06-26T16:39:17-05:00,19217,USD,,false,CPL/demo/events/00006
EV000007,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-06-28T08:45:00-05:00,2023-07-03T10:56:57-05:00,19217,USD,,false,CPL/demo/events/00007
EV000008,CPL,CPL_BILLING,CPL-R00005,SUBMITTED,2023-07-11T08:51:00-05:00,2023-07-14T20:00:27-05:00,20106,USD,,false,CPL/demo/events/00008
EV000009,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-07-20T10:20:00-05:00,2023-07-20T16:08:23-05:00,20106,USD,,false,CPL/demo/events/00009
EV000010,CPL,CPL_BILLING,CPL-R00006,SUBMITTED,2022-07-11T10:18:00-05:00,2022-07-11T17:59:56-05:00,11958,USD,,false,CPL/demo/events/00010
EV000011,CPL,CPL_BILLING,,PAYMENT_POSTED,2022-08-08T14:58:00-05:00,2022-08-14T10:59:28-05:00,11958,USD,,false,CPL/demo/events/00011
EV000012,CPL,CPL_BILLING,CPL-R00007,SUBMITTED,2023-03-07T09:27:00-06:00,2023-03-20T02:14:58-05:00,7749,USD,,false,CPL/demo/events/00012
EV000013,CPL,CPL_BILLING,CPL-R00008,CORRECTED,2023-03-17T15:02:00-05:00,2023-03-17T19:46:32-05:00,8036,USD,,false,CPL/demo/events/00013
EV000014,CPL,CPL_BILLING,CPL-R00007,VOID_VERSION,2023-03-17T15:02:00-05:00,2023-03-19T17:47:57-05:00,7749,USD,,false,CPL/demo/events/00014
EV000015,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-03-27T09:57:00-05:00,2023-03-31T09:33:14-05:00,8036,USD,,false,CPL/demo/events/00015
EV000016,CPL,CPL_BILLING,CPL-R00009,SUBMITTED,2023-07-24T11:17:00-05:00,2023-07-25T03:15:19-05:00,5411,USD,,false,CPL/demo/events/00016
EV000017,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-10-02T08:56:00-05:00,2023-10-02T16:16:11-05:00,5411,USD,,false,CPL/demo/events/00017
EV000018,CPL,CPL_BILLING,CPL-R00010,SUBMITTED,2023-06-19T09:57:00-05:00,2023-06-19T17:26:41-05:00,14252,USD,,false,CPL/demo/events/00018
EV000019,CPL,CPL_BILLING,CPL-R00010,CLOSED_NO_PAYMENT,2023-08-28T16:59:00-05:00,2023-09-10T03:37:20-05:00,,,,true,CPL/demo/events/00019
EV000020,CPL,CPL_BILLING,CPL-R00011,SUBMITTED,2022-07-11T14:20:00-05:00,2022-07-15T03:21:35-05:00,22498,USD,,false,CPL/demo/events/00020
EV000021,CPL,CPL_BILLING,CPL-R00012,SUBMITTED,2023-05-01T11:35:00-05:00,2023-05-03T14:07:50-05:00,5507,USD,,false,CPL/demo/events/00021
EV000022,CPL,CPL_BILLING,CPL-R00012,CLOSED_NO_PAYMENT,2023-06-20T10:07:00-05:00,2023-06-20T21:30:30-05:00,,,,true,CPL/demo/events/00022
EV000023,CPL,CPL_BILLING,CPL-R00013,SUBMITTED,2023-07-31T15:01:00-05:00,2023-08-02T13:38:57-05:00,8419,USD,,false,CPL/demo/events/00023
EV000024,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-10-23T14:31:00-05:00,2023-10-26T01:27:36-05:00,8419,USD,,false,CPL/demo/events/00024
EV000025,CPL,CPL_BILLING,CPL-R00014,SUBMITTED,2022-11-08T11:28:00-06:00,2022-11-10T03:29:03-06:00,16370,USD,,false,CPL/demo/events/00025
EV000026,CPL,CPL_BILLING,,PAYMENT_POSTED,2022-11-18T09:22:00-06:00,2022-11-18T14:37:00-06:00,16370,USD,,false,CPL/demo/events/00026
EV000027,CPL,CPL_BILLING,CPL-R00015,SUBMITTED,2023-02-03T13:21:00-06:00,2023-02-07T23:58:39-06:00,3569,USD,,false,CPL/demo/events/00027
EV000028,CPL,CPL_BILLING,CPL-R00016,SUBMITTED,2022-09-05T15:03:00-05:00,2022-09-05T19:08:08-05:00,7726,USD,,false,CPL/demo/events/00028
EV000029,CPL,CPL_BILLING,,PAYMENT_POSTED,2022-10-03T12:10:00-05:00,2022-10-03T14:14:12-05:00,7726,USD,,false,CPL/demo/events/00029
EV000030,CPL,CPL_BILLING,CPL-R00017,SUBMITTED,2022-08-18T08:24:00-05:00,2022-08-19T10:56:25-05:00,13092,USD,,false,CPL/demo/events/00030
EV000031,CPL,CPL_BILLING,,PAYMENT_POSTED,2022-08-29T16:44:00-05:00,2022-09-02T03:26:41-05:00,13092,USD,,false,CPL/demo/events/00031
EV000032,CPL,CPL_BILLING,CPL-R00018,SUBMITTED,2022-08-31T13:13:00-05:00,2022-08-31T16:18:51-05:00,14488,USD,,false,CPL/demo/events/00032
EV000033,CPL,CPL_BILLING,,PAYMENT_POSTED,2022-10-19T14:54:00-05:00,2022-10-28T06:56:19-05:00,14488,USD,,false,CPL/demo/events/00033
EV000034,CPL,CPL_BILLING,CPL-R00019,SUBMITTED,2023-02-15T15:55:00-06:00,2023-02-15T23:24:38-06:00,10456,USD,,false,CPL/demo/events/00034
EV000035,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-02-22T09:24:00-06:00,2023-02-23T23:50:12-06:00,10456,USD,,false,CPL/demo/events/00035
EV000036,CPL,CPL_BILLING,CPL-R00020,SUBMITTED,2023-03-29T14:31:00-05:00,2023-03-31T08:52:14-05:00,4457,USD,,false,CPL/demo/events/00036
EV000037,CPL,CPL_BILLING,CPL-R00021,SUBMITTED,2022-10-03T14:43:00,2022-10-03T17:18:02,9667,USD,,false,CPL/demo/events/00037
EV000038,CPL,CPL_BILLING,CPL-R00022,SUBMITTED,2022-11-30T09:43:00-06:00,2022-12-03T10:33:42-06:00,11816,USD,,false,CPL/demo/events/00038
