allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref
AL000001,EV000002,CPL-R00001,17521,USD,2022-08-18T20:02:17+00:00,CPL/SRC/allocations/00002
AL000002,EV000004,CPL-R00002,13320,USD,2023-07-18T20:10:29+00:00,CPL/SRC/allocations/00004
AL000003,EV000007,CPL-R00004,19217,USD,2023-06-28T17:18:00+00:00,CPL/SRC/allocations/00007
AL000004,EV000009,CPL-R00005,20106,USD,2023-07-20T19:23:29+00:00,CPL/SRC/allocations/00009
AL000005,EV000011,CPL-R00006,11958,USD,2022-08-09T03:11:50+00:00,CPL/SRC/allocations/00011
AL000006,EV000015,CPL-R00008,8036,USD,2023-03-31T23:38:31+00:00,CPL/SRC/allocations/00015
AL000007,EV000017,CPL-R00009,5411,USD,2023-10-02T18:25:00+00:00,CPL/SRC/allocations/00017
AL000008,EV000024,CPL-R00013,5004,USD,2023-10-23T22:55:39+00:00,CPL/SRC/allocations/00024
AL000009,EV000026,CPL-R00014,12124,USD,2022-11-18T17:20:10+00:00,CPL/SRC/allocations/00026
AL000010,EV000029,CPL-R00016,7726,USD,2022-10-03T17:39:20+00:00,CPL/SRC/allocations/00029
AL000011,EV000031,CPL-R00017,13092,USD,2022-08-30T02:53:09+00:00,CPL/SRC/allocations/00031
AL000012,EV000033,CPL-R00018,11939,USD,2022-10-22T03:06:35+00:00,CPL/SRC/allocations/00033
AL000013,EV000035,CPL-R00019,10456,USD,2023-02-24T06:48:37+00:00,CPL/SRC/allocations/00035
AL000014,EV000039,CPL-R00022,6559,USD,2022-12-30T09:53:52+00:00,CPL/SRC/allocations/00039
AL000015,EV000041,CPL-R00023,9072,USD,2023-07-04T20:33:12+00:00,CPL/SRC/allocations/00041
AL000016,EV000043,CPL-R00024,10731,USD,2023-10-07T00:37:01+00:00,CPL/SRC/allocations/00043
AL000017,EV000045,CPL-R00025,27610,USD,2022-07-22T03:20:24+00:00,CPL/SRC/allocations/00045
AL000018,EV000050,CPL-R00028,37472,USD,2023-03-16T06:07:48+00:00,CPL/SRC/allocations/00050
AL000019,EV000054,CPL-R00031,59848,USD,2023-08-01T22:05:58+00:00,CPL/SRC/allocations/00054
AL000020,EV000056,CPL-R00032,5056,USD,2023-07-26T13:31:03+00:00,CPL/SRC/allocations/00056
AL000021,EV000058,CPL-R00033,18704,USD,2023-04-06T19:53:46+00:00,CPL/SRC/allocations/00058
AL000022,EV000060,CPL-R00034,36864,USD,2023-09-14T10:51:17+00:00,CPL/SRC/allocations/00060
AL000023,EV000064,CPL-R00036,13410,USD,2022-12-14T00:58:11+00:00,CPL/SRC/allocations/00065
AL000024,EV000064,CPL-R00037,8294,USD,2022-12-13T04:16:09+00:00,CPL/SRC/allocations/00065
AL000025,EV000068,CPL-R00039,2848,USD,2023-09-21T19:31:51+00:00,CPL/SRC/allocations/00068
AL000026,EV000070,CPL-R00040,4953,USD,2023-09-07T02:42:47+00:00,CPL/SRC/allocations/00071
