event_id,org_token,source_system,bill_record_id,event_type,event_at,available_at,amount_minor,currency,reverses_event_id,terminal_flag,source_ref
EV000001,CPL,CPL_BILLING,CPL-R00001,SUBMITTED,2022-08-09T19:12:00+00:00,2022-08-09T22:51:28+00:00,17521,USD,,false,CPL/SRC/events/00001
EV000002,CPL,CPL_BILLING,,PAYMENT_POSTED,2022-08-18T13:24:00+00:00,2022-08-18T15:17:42+00:00,17521,USD,,false,CPL/SRC/events/00002
EV000004,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-07-18T16:19:00+00:00,2023-07-18T20:07:34+00:00,13320,USD,,false,CPL/SRC/events/00004
EV000005,CPL,CPL_BILLING,CPL-R00003,SUBMITTED,2023-06-16T20:26:00+00:00,2023-06-20T12:36:19+00:00,15960,USD,,false,CPL/SRC/events/00005
EV000006,CPL,CPL_BILLING,CPL-R00004,CORRECTED,2023-06-26T20:39:00+00:00,2023-06-26T21:39:17+00:00,19217,USD,,false,CPL/SRC/events/00006
EV000007,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-06-28T13:45:00+00:00,2023-07-03T15:56:57+00:00,19217,USD,,false,CPL/SRC/events/00007
EV000008,CPL,CPL_BILLING,CPL-R00005,SUBMITTED,2023-07-11T13:51:00+00:00,2023-07-15T01:00:27+00:00,20106,USD,,false,CPL/SRC/events/00008
EV000009,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-07-20T15:20:00+00:00,2023-07-20T21:08:23+00:00,20106,USD,,false,CPL/SRC/events/00009
EV000010,CPL,CPL_BILLING,CPL-R00006,SUBMITTED,2022-07-11T15:18:00+00:00,2022-07-11T22:59:56+00:00,11958,USD,,false,CPL/SRC/events/00010
EV000011,CPL,CPL_BILLING,,PAYMENT_POSTED,2022-08-08T19:58:00+00:00,2022-08-14T15:59:28+00:00,11958,USD,,false,CPL/SRC/events/00011
EV000012,CPL,CPL_BILLING,CPL-R00007,SUBMITTED,2023-03-07T15:27:00+00:00,2023-03-20T07:14:58+00:00,7749,USD,,false,CPL/SRC/events/00012
EV000013,CPL,CPL_BILLING,CPL-R00008,CORRECTED,2023-03-17T20:02:00+00:00,2023-03-18T00:46:32+00:00,8036,USD,,false,CPL/SRC/events/00013
EV000014,CPL,CPL_BILLING,CPL-R00007,VOID_VERSION,2023-03-17T20:02:00+00:00,2023-03-19T22:47:57+00:00,7749,USD,,false,CPL/SRC/events/00014
EV000015,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-03-27T14:57:00+00:00,2023-03-31T14:33:14+00:00,8036,USD,,false,CPL/SRC/events/00015
EV000016,CPL,CPL_BILLING,CPL-R00009,SUBMITTED,2023-07-24T16:17:00+00:00,2023-07-25T08:15:19+00:00,5411,USD,,false,CPL/SRC/events/00016
EV000017,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-10-02T13:56:00+00:00,2023-10-02T21:16:11+00:00,5411,USD,,false,CPL/SRC/events/00017
EV000018,CPL,CPL_BILLING,CPL-R00010,SUBMITTED,2023-06-19T14:57:00+00:00,2023-06-19T22:26:41+00:00,14252,USD,,false,CPL/SRC/events/00018
EV000019,CPL,CPL_BILLING,CPL-R00010,CLOSED_NO_PAYMENT,2023-08-28T21:59:00+00:00,2023-09-10T08:37:20+00:00,,,,true,CPL/SRC/events/00019
EV000020,CPL,CPL_BILLING,CPL-R00011,SUBMITTED,2022-07-11T19:20:00+00:00,2022-07-15T08:21:35+00:00,22498,USD,,false,CPL/SRC/events/00020
EV000021,CPL,CPL_BILLING,CPL-R00012,SUBMITTED,2023-05-01T16:35:00+00:00,2023-05-03T19:07:50+00:00,5507,USD,,false,CPL/SRC/events/00021
EV000022,CPL,CPL_BILLING,CPL-R00012,CLOSED_NO_PAYMENT,2023-06-20T15:07:00+00:00,2023-06-21T02:30:30+00:00,,,,true,CPL/SRC/events/00022
EV000023,CPL,CPL_BILLING,CPL-R00013,SUBMITTED,2023-07-31T20:01:00+00:00,2023-08-02T18:38:57+00:00,8419,USD,,false,CPL/SRC/events/00023
EV000024,CPL,CPL_BILLING,,PAYMENT_POSTED,2023-10-23T19:31:00+00:00,2023-10-26T06:27:36+00:00,8419,USD,,false,CPL/SRC/events/00024
