record_id,true_lineage_id
PG-R00001,L00001
PG-R00002,L00002
PG-R00003,L00003
PG-R00004,L00003
PG-R00005,L00004
PG-R00006,L00005
PG-R00007,L00006
PG-R00008,L00007
PG-R00009,L00008
PG-R00010,L00009
PG-R00011,L00010
PG-R00012,L00011
PG-R00013,L00012
PG-R00015,L00013
PG-R00014,L00013
PG-R00016,L00014
PG-R00017,L00015
PG-R00018,L00015
PG-R00019,L00016
PG-R00020,L00017
PG-R00021,L00018
PG-R00022,L00019
PG-R00023,L00020
PG-R00024,L00020
PG-R00025,L00021
PG-R00026,L00022
PG-R00027,L00023
PG-R00028,L00023
PG-R00029,L00024
PG-R00030,L00025
PG-R00031,L00026
PG-R00032,L00027
PG-R00033,L00028
PG-R00034,L00029
PG-R00035,L00030
PG-R00036,L00031
PG-R00037,L00032
PG-R00038,L00033
PG-R00039,L00034
PG-R00040,L00035
PG-R00041,L00036
PG-R00042,L00037
PG-R00043,L00038
PG-R00044,L00039
PG-R00045,L00040
PG-R00046,L00041
PG-R00047,L00042
PG-R00048,L00043
PG-R00049,L00044
PG-R00050,L00045
PG-R00051,L00046
PG-R00052,L00047
PG-R00053,L00048
PG-R00054,L00049
PG-R00055,L00050
PG-R00056,L00051
PG-R00057,L00052
PG-R00058,L00053
PG-R00059,L00054
PG-R00060,L00055
PG-R00061,L00056
PG-R00062,L00057
PG-R00063,L00057
PG-R00064,L00058
PG-R00065,L00059
PG-R00066,L00060
PG-R00067,L00061
PG-R00069,L00062
PG-R00068,L00062
PG-R00070,L00063
PG-R00071,L00064
PG-R00072,L00065
PG-R00073,L00066
PG-R00074,L00067
PG-R00075,L00068
PG-R00076,L00069
PG-R00077,L00070
PG-R00078,L00071
PG-R00079,L00072
PG-R00080,L00073
PG-R00081,L00074
PG-R00082,L00075
PG-R00083,L00076
PG-R00084,L00077
PG-R00085,L00078
PG-R00086,L00079
PG-R00087,L00079
PG-R00088,L00080
PG-R00089,L00081
PG-R00090,L00082
PG-R00091,L00083
PG-R00092,L00084
PG-R00093,L00085
PG-R00095,L00086
PG-R00094,L00086
PG-R00096,L00087
PG-R00097,L00088
PG-R00098,L00089
PG-R00099,L00090
PG-R00100,L00091
PG-R00101,L00092
PG-R00102,L00093
PG-R00103,L00094
PG-R00104,L00094
PG-R00105,L00095
PG-R00106,L00095
PG-R00107,L00096
PG-R00108,L00097
PG-R00109,L00098
PG-R00110,L00099
PG-R00111,L00100
PG-R00112,L00101
PG-R00113,L00101
PG-R00114,L00102
PG-R00115,L00103
PG-R00117,L00104
PG-R00116,L00104
PG-R00118,L00105
PG-R00119,L00106
PG-R00120,L00107
PG-R00121,L00108
PG-R00122,L00109
PG-R00123,L00110
PG-R00124,L00111
PG-R00125,L00112
PG-R00126,L00113
PG-R00127,L00114
PG-R00128,L00115
PG-R00129,L00116
PG-R00130,L00117
PG-R00131,L00118
PG-R00132,L00119
PG-R00133,L00120
PG-R00134,L00121
PG-R00135,L00121
PG-R00136,L00122
PG-R00137,L00123
PG-R00138,L00124
PG-R00139,L00125
PG-R00140,L00126
PG-R00141,L00127
PG-R00142,L00128
PG-R00144,L00129
PG-R00143,L00129
PG-R00145,L00130
PG-R00148,L00131
PG-R00146,L00131
PG-R00147,L00131
PG-R00149,L00132
PG-R00150,L00133
PG-R00151,L00134
PG-R00152,L00135
PG-R00153,L00136
PG-R00154,L00137
PG-R00155,L00138
PG-R00156,L00139
PG-R00157,L00140
PG-R00158,L00141
PG-R00159,L00142
PG-R00160,L00143
PG-R00161,L00144
PG-R00162,L00145
PG-R00163,L00146
PG-R00164,L00147
PG-R00165,L00148
PG-R00166,L00149
PG-R00167,L00150
PG-R00168,L00151
PG-R00169,L00152
PG-R00170,L00153
PG-R00171,L00154
PG-R00172,L00155
PG-R00173,L00156
PG-R00174,L00157
PG-R00175,L00158
PG-R00176,L00158
PG-R00177,L00159
PG-R00178,L00160
PG-R00179,L00161
PG-R00180,L00162
PG-R00181,L00163
PG-R00182,L00164
PG-R00183,L00165
PG-R00184,L00166
PG-R00185,L00167
PG-R00187,L00168
PG-R00186,L00168
PG-R00188,L00169
PG-R00189,L00170
PG-R00190,L00171
PG-R00191,L00172
PG-R00192,L00173
PG-R00194,L00175
PG-R00195,L00176
PG-R00196,L00177
PG-R00197,L00178
PG-R00198,L00179
PG-R00199,L00180
PG-R00200,L00181
PG-R00201,L00181
PG-R00202,L00182
PG-R00203,L00183
PG-R00206,L00184
PG-R00204,L00184
PG-R00205,L00184
PG-R00207,L00185
PG-R00208,L00185
PG-R00211,L00186
PG-R00209,L00186
PG-R00210,L00186
PG-R00212,L00187
PG-R00213,L00188
PG-R00214,L00188
PG-R00215,L00189
PG-R00216,L00190
PG-R00217,L00191
PG-R00218,L00192
PG-R00219,L00193
PG-R00220,L00194
PG-R00221,L00195
PG-R00222,L00196
PG-R00223,L00197
PG-R00224,L00198
PG-R00225,L00199
PG-R00226,L00200
PG-R00227,L00201
PG-R00228,L00202
PG-R00229,L00203
PG-R00230,L00204
PG-R00231,L00205
PG-R00232,L00206
PG-R00233,L00207
PG-R00234,L00208
PG-R00235,L00209
PG-R00237,L00210
PG-R00236,L00210
PG-R00238,L00211
PG-R00239,L00212
PG-R00240,L00212
PG-R00243,L00213
PG-R00241,L00213
PG-R00242,L00213
PG-R00244,L00214
PG-R00245,L00215
PG-R00246,L00216
PG-R00248,L00217
PG-R00247,L00217
PG-R00249,L00218
PG-R00250,L00219
PG-R00251,L00220
PG-R00252,L00221
PG-R00253,L00222
PG-R00254,L00222
PG-R00256,L00223
PG-R00255,L00223
PG-R00257,L00224
PG-R00258,L00225
PG-R00259,L00226
PG-R00260,L00227
PG-R00261,L00228
PG-R00262,L00229
PG-R00263,L00230
PG-R00264,L00231
PG-R00265,L00232
PG-R00266,L00233
PG-R00267,L00234
PG-R00268,L00235
PG-R00269,L00236
PG-R00271,L00237
PG-R00270,L00237
PG-R00272,L00238
PG-R00273,L00239
PG-R00274,L00240
PG-R00275,L00241
PG-R00276,L00242
PG-R00277,L00243
PG-R00278,L00244
PG-R00279,L00245
PG-R00280,L00246
PG-R00281,L00247
PG-R00282,L00248
PG-R00283,L00249
PG-R00284,L00250
PG-R00285,L00251
PG-R00286,L00252
PG-R00287,L00253
PG-R00288,L00254
PG-R00289,L00255
PG-R00290,L00256
PG-R00291,L00257
PG-R00292,L00258
PG-R00293,L00259
PG-R00294,L00260
PG-R00295,L00260
PG-R00296,L00261
PG-R00297,L00262
PG-R00298,L00263
PG-R00299,L00264
PG-R00300,L00264
PG-R00301,L00265
PG-R00302,L00266
PG-R00303,L00267
PG-R00304,L00268
PG-R00305,L00269
PG-R00306,L00270
PG-R00307,L00271
PG-R00308,L00272
PG-R00309,L00273
PG-R00310,L00274
PG-R00311,L00274
PG-R00312,L00275
PG-R00313,L00276
PG-R00314,L00277
PG-R00315,L00278
PG-R00316,L00279
PG-R00317,L00280
PG-R00318,L00280
PG-R00319,L00281
PG-R00320,L00282
PG-R00321,L00283
PG-R00322,L00284
PG-R00323,L00285
PG-R00324,L00286
PG-R00325,L00287
PG-R00326,L00288
PG-R00327,L00289
PG-R00328,L00290
PG-R00329,L00291
PG-R00330,L00292
PG-R00331,L00293
PG-R00332,L00294
PG-R00334,L00296
PG-R00335,L00296
PG-R00336,L00297
PG-R00337,L00298
PG-R00338,L00299
PG-R00340,L00300
PG-R00339,L00300
PG-R00341,L00301
PG-R00342,L00302
PG-R00343,L00303
PG-R00344,L00304
PG-R00345,L00305
PG-R00347,L00306
PG-R00346,L00306
PG-R00348,L00307
PG-R00350,L00309
PG-R00351,L00310
PG-R00352,L00311
PG-R00353,L00312
PG-R00354,L00313
PG-R00355,L00314
PG-R00356,L00315
PG-R00357,L00316
PG-R00358,L00317
PG-R00359,L00318
PG-R00360,L00318
PG-R00361,L00319
PG-R00362,L00320
PG-R00363,L00321
PG-R00364,L00322
PG-R00365,L00323
PG-R00366,L00324
PG-R00367,L00325
PG-R00368,L00326
PG-R00369,L00327
PG-R00370,L00327
PG-R00371,L00328
PG-R00372,L00329
PG-R00373,L00330
PG-R00375,L00331
PG-R00374,L00331
PG-R00376,L00332
PG-R00377,L00333
PG-R00378,L00334
PG-R00379,L00335
PG-R00380,L00336
PG-R00381,L00337
PG-R00382,L00338
PG-R00383,L00339
PG-R00384,L00340
PG-R00385,L00341
PG-R00386,L00342
PG-R00388,L00343
PG-R00387,L00343
PG-R00390,L00344
PG-R00389,L00344
PG-R00391,L00345
PG-R00392,L00346
PG-R00393,L00346
PG-R00394,L00347
PG-R00395,L00348
PG-R00396,L00349
PG-R00397,L00350
PG-R00398,L00351
PG-R00399,L00352
PG-R00400,L00353
PG-R00401,L00353
PG-R00402,L00354
PG-R00403,L00355
PG-R00404,L00356
PG-R00405,L00357
PG-R00406,L00358
PG-R00407,L00359
PG-R00408,L00360
PG-R00409,L00361
PG-R00410,L00362
PG-R00411,L00363
PG-R00412,L00363
PG-R00413,L00364
PG-R00414,L00365
PG-R00415,L00366
PG-R00416,L00366
PG-R00417,L00367
PG-R00418,L00368
PG-R00419,L00368
PG-R00420,L00369
PG-R00421,L00370
PG-R00422,L00371
PG-R00423,L00372
PG-R00424,L00373
PG-R00425,L00373
PG-R00426,L00374
PG-R00427,L00375
PG-R00428,L00376
PG-R00429,L00377
PG-R00430,L00378
PG-R00431,L00379
PG-R00432,L00380
PG-R00433,L00381
PG-R00434,L00382
