allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref
AL000001,EV000002,PG-R00001,16931,USD,2023-06-13T02:18:02-07:00,CPL/SRC/allocations/00002
AL000002,EV000004,PG-R00002,10128,USD,2022-09-19T15:21:09-07:00,CPL/SRC/allocations/00004
AL000003,EV000007,PG-R00004,29976,USD,2023-06-25T04:02:46-07:00,CPL/SRC/allocations/00007
AL000004,EV000009,PG-R00005,9626,USD,2023-10-04T17:32:38-07:00,CPL/SRC/allocations/00009
AL000005,EV000019,PG-R00011,13229,USD,2023-03-02T02:24:59-08:00,CPL/SRC/allocations/00019
AL000006,EV000021,PG-R00012,12896,USD,2022-10-05T10:14:46-07:00,CPL/SRC/allocations/00021
AL000007,EV000023,PG-R00013,7057,USD,2023-07-20T20:02:33-07:00,CPL/SRC/allocations/00023
AL000008,EV000025,PG-R00014,9378,USD,2022-12-05T18:15:46-08:00,CPL/SRC/allocations/00026
AL000009,EV000025,PG-R00015,7622,USD,2022-12-05T22:14:47-08:00,CPL/SRC/allocations/00026
AL000010,EV000028,PG-R00016,4988,USD,2022-10-10T09:02:17-07:00,CPL/SRC/allocations/00028
AL000011,EV000032,PG-R00018,16163,USD,2023-08-28T07:01:53-07:00,CPL/SRC/allocations/00032
AL000012,EV000034,PG-R00019,4614,USD,2023-03-20T16:52:31-07:00,CPL/SRC/allocations/00034
AL000013,EV000036,PG-R00020,22931,USD,2023-04-03T14:29:37-07:00,CPL/SRC/allocations/00036
AL000014,EV000038,PG-R00021,2500,USD,2023-02-23T13:55:37-08:00,CPL/SRC/allocations/00038
AL000015,EV000040,PG-R00022,5345,USD,2022-09-02T08:36:58-07:00,CPL/SRC/allocations/00040
AL000016,EV000043,PG-R00024,75723,USD,2023-09-04T16:35:52-07:00,CPL/SRC/allocations/00043
AL000017,EV000045,PG-R00025,7077,USD,2023-09-25T14:14:39-07:00,CPL/SRC/allocations/00045
AL000018,EV000051,PG-R00029,5402,USD,2022-11-29T14:48:15-08:00,CPL/SRC/allocations/00051
AL000019,EV000053,PG-R00030,84887,USD,2023-07-31T11:13:20-07:00,CPL/SRC/allocations/00053
AL000020,EV000058,PG-R00033,19651,USD,2023-04-24T16:10:18-07:00,CPL/SRC/allocations/00058
AL000021,EV000060,PG-R00034,11696,USD,2023-10-31T09:16:33-07:00,CPL/SRC/allocations/00060
AL000022,EV000062,PG-R00035,2543,USD,2023-02-08T14:22:20-08:00,CPL/SRC/allocations/00062
AL000023,EV000064,PG-R00036,4217,USD,2023-07-07T07:55:04-07:00,CPL/SRC/allocations/00064
AL000024,EV000067,PG-R00037,32444,USD,2022-11-17T19:44:24-08:00,CPL/SRC/allocations/00067
AL000025,EV000070,PG-R00039,13039,USD,2023-11-17T12:31:57-08:00,CPL/SRC/allocations/00070
AL000026,EV000072,PG-R00040,13345,USD,2023-06-04T00:52:02-07:00,CPL/SRC/allocations/00072
AL000027,EV000076,PG-R00042,7485,USD,2023-08-07T13:57:36-07:00,CPL/SRC/allocations/00076
AL000028,EV000078,PG-R00043,13898,USD,2022-10-27T17:51:59-07:00,CPL/SRC/allocations/00078
AL000029,EV000081,PG-R00045,6577,USD,2022-10-17T09:15:51-07:00,CPL/SRC/allocations/00081
AL000030,EV000084,PG-R00047,17133,USD,2022-10-14T22:43:31-07:00,CPL/SRC/allocations/00084
