event_id,org_token,source_system,bill_record_id,event_type,event_at,available_at,amount_minor,currency,reverses_event_id,terminal_flag,source_ref
EV000001,PG,PG_CLAIMS,PG-R00001,SUBMITTED,2023-05-22T06:29:00-07:00,2023-05-22T20:09:24-07:00,21690,USD,,false,CPL/SRC/events/00001
EV000002,PG,PG_CLAIMS,,PAYMENT_POSTED,2023-06-12T07:51:00-07:00,2023-06-18T15:16:43-07:00,21690,USD,,false,CPL/SRC/events/00002
EV000003,PG,PG_CLAIMS,PG-R00002,SUBMITTED,2022-09-01T11:48:00-07:00,2022-09-01T12:33:23-07:00,10128,USD,,false,CPL/SRC/events/00003
EV000004,PG,PG_CLAIMS,,PAYMENT_POSTED,2022-09-19T13:40:00-07:00,2022-09-19T20:53:16-07:00,10128,USD,,false,CPL/SRC/events/00004
EV000005,PG,PG_CLAIMS,PG-R00003,SUBMITTED,2023-06-06T09:53:00-07:00,2023-06-12T16:57:35-07:00,24358,USD,,false,CPL/SRC/events/00005
EV000006,PG,PG_CLAIMS,PG-R00004,CORRECTED,2023-06-07T06:35:00-07:00,2023-06-07T06:52:39-07:00,29976,USD,,false,CPL/SRC/events/00006
EV000007,PG,PG_CLAIMS,,PAYMENT_POSTED,2023-06-20T11:44:00-07:00,2023-06-20T12:19:21-07:00,29976,USD,,false,CPL/SRC/events/00007
EV000008,PG,PG_CLAIMS,PG-R00005,SUBMITTED,2023-09-04T12:39:00-07:00,2023-09-04T20:28:42-07:00,9626,USD,,false,CPL/SRC/events/00008
EV000009,PG,PG_CLAIMS,,PAYMENT_POSTED,2023-10-04T10:46:00-07:00,2023-10-06T17:40:54-07:00,9626,USD,,false,CPL/SRC/events/00009
EV000010,PG,PG_CLAIMS,PG-R00006,SUBMITTED,2022-11-21T13:46:00-08:00,2022-11-21T17:22:02-08:00,222302,USD,,false,CPL/SRC/events/00010
EV000011,PG,PG_CLAIMS,,PAYMENT_POSTED,2022-12-05T10:02:00-08:00,2022-12-05T11:25:17-08:00,222302,USD,,false,CPL/SRC/events/00011
EV000012,PG,PG_CLAIMS,PG-R00007,SUBMITTED,2023-04-17T13:20:00-07:00,2023-04-17T18:15:36-07:00,9102,USD,,false,CPL/SRC/events/00012
EV000013,PG,PG_CLAIMS,PG-R00007,CLOSED_NO_PAYMENT,2023-05-29T11:50:00-07:00,2023-05-31T16:27:31-07:00,,,,true,CPL/SRC/events/00013
EV000014,PG,PG_CLAIMS,PG-R00008,SUBMITTED,2023-03-13T14:23:00-07:00,2023-03-15T08:46:25-07:00,11272,USD,,false,CPL/SRC/events/00014
EV000015,PG,PG_CLAIMS,PG-R00009,SUBMITTED,2023-06-16T10:48:00-07:00,2023-06-20T05:13:24-07:00,62536,USD,,false,CPL/SRC/events/00015
EV000016,PG,PG_CLAIMS,PG-R00010,SUBMITTED,2022-07-25T10:36:00-07:00,2022-07-25T16:30:14-07:00,16212,USD,,false,CPL/SRC/events/00016
EV000017,PG,PG_CLAIMS,,PAYMENT_POSTED,2022-08-15T12:33:00-07:00,2022-08-19T03:01:44-07:00,16212,USD,,false,CPL/SRC/events/00017
EV000018,PG,PG_CLAIMS,PG-R00011,SUBMITTED,2023-02-08T07:34:00-08:00,2023-02-10T07:45:03-08:00,13229,USD,,false,CPL/SRC/events/00018
EV000019,PG,PG_CLAIMS,,PAYMENT_POSTED,2023-02-28T13:11:00-08:00,2023-03-05T14:50:29-08:00,13229,USD,,false,CPL/SRC/events/00019
EV000020,PG,PG_CLAIMS,PG-R00012,SUBMITTED,2022-09-08T11:48:00-07:00,2022-09-09T05:34:24-07:00,12896,USD,,false,CPL/SRC/events/00020
EV000021,PG,PG_CLAIMS,,PAYMENT_POSTED,2022-09-28T08:51:00-07:00,2022-09-28T13:49:25-07:00,12896,USD,,false,CPL/SRC/events/00021
EV000022,PG,PG_CLAIMS,PG-R00013,SUBMITTED,2023-07-04T10:07:00-07:00,2023-07-18T04:58:58-07:00,9625,USD,,false,CPL/SRC/events/00022
EV000023,PG,PG_CLAIMS,,PAYMENT_POSTED,2023-07-20T14:07:00-07:00,2023-07-20T21:03:56-07:00,9625,USD,,false,CPL/SRC/events/00023
EV000024,PG,PG_CLAIMS,PG-R00014,SUBMITTED,2022-11-09T13:30:00-08:00,2022-11-09T16:38:56-08:00,17000,USD,,false,CPL/SRC/events/00024
EV000025,PG,PG_CLAIMS,,PAYMENT_POSTED,2022-12-05T11:02:00-08:00,2022-12-06T06:07:06-08:00,17000,USD,,false,CPL/SRC/events/00025
EV000026,PG,PG_CLAIMS,PG-R00015,SUBMITTED,2022-11-07T09:00:00-08:00,2022-11-09T11:47:30-08:00,19658,USD,,false,CPL/SRC/events/00026
EV000027,PG,PG_CLAIMS,PG-R00016,SUBMITTED,2022-09-08T06:43:00-07:00,2022-09-09T07:20:29-07:00,4988,USD,,false,CPL/SRC/events/00027
EV000028,PG,PG_CLAIMS,,PAYMENT_POSTED,2022-10-10T07:56:00-07:00,2022-10-11T22:43:06-07:00,4988,USD,,false,CPL/SRC/events/00028
EV000029,PG,PG_CLAIMS,PG-R00017,SUBMITTED,2023-03-31T14:31:00-07:00,2023-04-02T22:25:27-07:00,13364,USD,,false,CPL/SRC/events/00029
EV000030,PG,PG_CLAIMS,PG-R00018,CORRECTED,2023-04-11T13:14:00-07:00,2023-04-11T18:32:08-07:00,16163,USD,,false,CPL/SRC/events/00030
EV000031,PG,PG_CLAIMS,PG-R00017,VOID_VERSION,2023-04-11T13:14:00-07:00,2023-04-11T18:00:48-07:00,13364,USD,,false,CPL/SRC/events/00031
EV000032,PG,PG_CLAIMS,,PAYMENT_POSTED,2023-08-28T06:24:00-07:00,2023-08-30T12:54:40-07:00,16163,USD,,false,CPL/SRC/events/00032
EV000033,PG,PG_CLAIMS,PG-R00019,SUBMITTED,2023-03-06T13:12:00-08:00,2023-03-06T16:20:24-08:00,4614,USD,,false,CPL/SRC/events/00033
EV000034,PG,PG_CLAIMS,,PAYMENT_POSTED,2023-03-20T09:45:00-07:00,2023-03-20T15:38:41-07:00,4614,USD,,false,CPL/SRC/events/00034
EV000035,PG,PG_CLAIMS,PG-R00020,SUBMITTED,2023-03-13T12:07:00-07:00,2023-03-13T17:38:56-07:00,27401,USD,,false,CPL/SRC/events/00035
EV000036,PG,PG_CLAIMS,,PAYMENT_POSTED,2023-04-03T12:04:00-07:00,2023-04-05T04:44:29-07:00,27401,USD,,false,CPL/SRC/events/00036
