left_record_id,right_record_id,same_lineage,adjudication_status
PG-R00885,PG-R00886,true,confirmed
PG-R00905,PG-R00906,true,confirmed
PG-R00927,PG-R00928,true,confirmed
PG-R00934,PG-R00935,true,confirmed
PG-R00969,PG-R00970,true,confirmed
PG-R00973,PG-R00974,true,confirmed
PG-R00982,PG-R00983,true,confirmed
PG-R00986,PG-R00987,true,confirmed
PG-R00991,PG-R00992,true,confirmed
PG-R00994,PG-R00995,true,confirmed
PG-R01015,PG-R01016,true,confirmed
PG-R01017,PG-R01018,true,confirmed
PG-R01036,PG-R01037,true,confirmed
PG-R00012,PG-R01040,true,confirmed
PG-R01041,PG-R01042,true,confirmed
PG-R01058,PG-R01059,true,confirmed
PG-R01067,PG-R01068,true,confirmed
PG-R01078,PG-R01079,true,confirmed
PG-R01085,PG-R01086,true,confirmed
PG-R01098,PG-R01099,true,confirmed
PG-R01111,PG-R01112,true,confirmed
PG-R01121,PG-R01122,true,confirmed
PG-R01125,PG-R01126,true,confirmed
PG-R01134,PG-R01135,true,confirmed
PG-R01142,PG-R01143,true,confirmed
PG-R00457,PG-R00458,true,confirmed
PG-R00487,PG-R00488,true,confirmed
PG-R00502,PG-R00503,true,confirmed
PG-R00521,PG-R00522,true,confirmed
PG-R00525,PG-R00526,true,confirmed
PG-R00529,PG-R00530,true,confirmed
PG-R00533,PG-R00534,true,confirmed
PG-R00544,PG-R00545,true,confirmed
PG-R00549,PG-R00550,true,confirmed
PG-R00561,PG-R00562,true,confirmed
PG-R00563,PG-R00564,true,confirmed
PG-R00579,PG-R00580,true,confirmed
PG-R00582,PG-R00583,true,confirmed
PG-R00609,PG-R00610,true,confirmed
PG-R00611,PG-R00612,true,confirmed
PG-R00624,PG-R00625,true,confirmed
PG-R00644,PG-R00645,true,confirmed
PG-R00649,PG-R00650,true,confirmed
PG-R00661,PG-R00662,true,confirmed
PG-R00669,PG-R00670,true,confirmed
PG-R00685,PG-R00686,true,confirmed
PG-R00721,PG-R00722,true,confirmed
PG-R00733,PG-R00734,true,confirmed
PG-R00742,PG-R00743,true,confirmed
PG-R00759,PG-R00760,true,confirmed
PG-R00766,PG-R00767,true,confirmed
PG-R00775,PG-R00776,true,confirmed
PG-R00783,PG-R00784,true,confirmed
PG-R00807,PG-R00808,true,confirmed
PG-R00824,PG-R00825,true,confirmed
PG-R00834,PG-R00835,true,confirmed
PG-R00841,PG-R00842,true,confirmed
PG-R00850,PG-R00851,true,confirmed
PG-R00017,PG-R00018,true,confirmed
PG-R00027,PG-R00028,true,confirmed
PG-R00062,PG-R00063,true,confirmed
PG-R00105,PG-R00106,true,confirmed
PG-R00112,PG-R00113,true,confirmed
PG-R00146,PG-R00147,true,confirmed
PG-R00175,PG-R00176,true,confirmed
PG-R00184,PG-R00859,true,confirmed
PG-R00200,PG-R00201,true,confirmed
PG-R00209,PG-R00210,true,confirmed
PG-R00239,PG-R00240,true,confirmed
PG-R00253,PG-R00254,true,confirmed
PG-R00294,PG-R00295,true,confirmed
PG-R00299,PG-R00300,true,confirmed
PG-R00310,PG-R00311,true,confirmed
PG-R00317,PG-R00318,true,confirmed
PG-R00334,PG-R00335,true,confirmed
PG-R00359,PG-R00360,true,confirmed
PG-R00400,PG-R00401,true,confirmed
PG-R00411,PG-R00412,true,confirmed
PG-R00424,PG-R00425,true,confirmed
PG-R00441,PG-R00442,true,confirmed
PG-R00003,PG-R00004,true,confirmed
PG-R00023,PG-R00024,true,confirmed
PG-R00086,PG-R00087,true,confirmed
PG-R00103,PG-R00104,true,confirmed
PG-R00134,PG-R00135,true,confirmed
PG-R00204,PG-R00205,true,confirmed
PG-R00207,PG-R00208,true,confirmed
PG-R00213,PG-R00214,true,confirmed
PG-R00241,PG-R00242,true,confirmed
PG-R00369,PG-R00370,true,confirmed
PG-R00392,PG-R00393,true,confirmed
PG-R00415,PG-R00416,true,confirmed
PG-R00418,PG-R00419,true,confirmed
