allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref
AL000001,EV000002,CPL-R00001,10509,USD,2023-07-05T03:56:12+00:00,CPL/SRC/allocations/00002
AL000002,EV000004,CPL-R00002,19826,USD,2023-10-09T10:58:31+00:00,CPL/SRC/allocations/00004
AL000003,EV000006,CPL-R00003,8205,USD,2023-09-20T20:47:24+00:00,CPL/SRC/allocations/00006
AL000004,EV000008,CPL-R00004,11081,USD,2023-03-26T12:55:36+00:00,CPL/SRC/allocations/00009
AL000005,EV000008,CPL-R00005,6901,USD,2023-03-29T23:18:43+00:00,CPL/SRC/allocations/00009
AL000006,EV000011,CPL-R00006,28312,USD,2023-06-16T13:10:00+00:00,CPL/SRC/allocations/00011
AL000007,EV000013,CPL-R00007,14093,USD,2023-02-28T01:05:58+00:00,CPL/SRC/allocations/00013
AL000008,EV000015,CPL-R00008,3971,USD,2023-03-21T20:48:25+00:00,CPL/SRC/allocations/00015
AL000009,EV000017,CPL-R00009,16961,USD,2022-09-24T14:11:07+00:00,CPL/SRC/allocations/00017
AL000010,EV000022,CPL-R00012,10995,USD,2023-03-27T16:36:04+00:00,CPL/SRC/allocations/00022
AL000011,EV000024,CPL-R00013,3940,USD,2023-02-12T07:05:10+00:00,CPL/SRC/allocations/00024
AL000012,EV000026,CPL-R00014,48973,USD,2023-09-08T00:26:57+00:00,CPL/SRC/allocations/00026
AL000013,EV000028,CPL-R00015,103659,USD,2023-01-02T16:36:20+00:00,CPL/SRC/allocations/00028
AL000014,EV000031,CPL-R00016,34747,USD,2022-11-17T03:47:22+00:00,CPL/SRC/allocations/00031
AL000015,EV000033,CPL-R00017,24993,USD,2023-06-01T16:27:15+00:00,CPL/SRC/allocations/00033
AL000016,EV000035,CPL-R00018,10274,USD,2023-03-08T00:21:10+00:00,CPL/SRC/allocations/00035
AL000017,EV000037,CPL-R00019,10571,USD,2022-09-14T05:41:32+00:00,CPL/SRC/allocations/00037
AL000018,EV000042,CPL-R00021,10400,USD,2023-08-12T19:47:45+00:00,CPL/SRC/allocations/00042
AL000019,EV000044,CPL-R00022,29050,USD,2022-12-04T00:42:04+00:00,CPL/SRC/allocations/00044
AL000020,EV000046,CPL-R00023,11730,USD,2023-01-14T03:09:06+00:00,CPL/SRC/allocations/00046
AL000021,EV000048,CPL-R00024,12955,USD,2023-07-20T22:22:38+00:00,CPL/SRC/allocations/00048
