event_id,org_token,source_system,bill_record_id,event_type,event_at,available_at,amount_minor,currency,reverses_event_id,terminal_flag,source_ref
EV000001,PG,CPL_BILLING,CPL-R00001,SUBMITTED,2023-06-08T16:50:00+00:00,2023-06-12T07:59:31+00:00,10509,USD,,false,CPL/SRC/events/00001
EV000002,PG,CPL_BILLING,,PAYMENT_POSTED,2023-07-03T18:36:00+00:00,2023-07-11T07:33:15+00:00,10509,USD,,false,CPL/SRC/events/00002
EV000003,PG,CPL_BILLING,CPL-R00002,SUBMITTED,2023-09-18T18:51:00+00:00,2023-09-21T03:57:34+00:00,19826,USD,,false,CPL/SRC/events/00003
EV000004,PG,CPL_BILLING,,PAYMENT_POSTED,2023-10-02T16:53:00+00:00,2023-10-02T22:33:12+00:00,19826,USD,,false,CPL/SRC/events/00004
EV000005,PG,CPL_BILLING,CPL-R00003,SUBMITTED,2023-08-25T14:26:00+00:00,2023-08-29T00:03:08+00:00,8205,USD,,false,CPL/SRC/events/00005
EV000006,PG,CPL_BILLING,,PAYMENT_POSTED,2023-09-20T15:37:00+00:00,2023-09-20T16:02:16+00:00,8205,USD,,false,CPL/SRC/events/00006
EV000007,PG,CPL_BILLING,CPL-R00004,SUBMITTED,2023-03-14T13:24:00+00:00,2023-03-17T15:21:53+00:00,17982,USD,,false,CPL/SRC/events/00007
EV000008,PG,CPL_BILLING,,PAYMENT_POSTED,2023-03-24T19:51:00+00:00,2023-03-24T23:52:34+00:00,17982,USD,,false,CPL/SRC/events/00008
EV000009,PG,CPL_BILLING,CPL-R00005,SUBMITTED,2023-03-14T18:09:00+00:00,2023-03-14T19:29:01+00:00,10418,USD,,false,CPL/SRC/events/00009
EV000010,PG,CPL_BILLING,CPL-R00006,SUBMITTED,2023-05-24T14:57:00+00:00,2023-06-01T15:17:19+00:00,46802,USD,,false,CPL/SRC/events/00010
EV000011,PG,CPL_BILLING,,PAYMENT_POSTED,2023-06-13T13:50:00+00:00,2023-06-16T12:11:29+00:00,46802,USD,,false,CPL/SRC/events/00011
EV000012,PG,CPL_BILLING,CPL-R00007,SUBMITTED,2023-02-07T14:17:00+00:00,2023-02-08T15:15:29+00:00,14093,USD,,false,CPL/SRC/events/00012
EV000013,PG,CPL_BILLING,,PAYMENT_POSTED,2023-02-27T17:44:00+00:00,2023-03-02T17:34:35+00:00,14093,USD,,false,CPL/SRC/events/00013
EV000014,PG,CPL_BILLING,CPL-R00008,SUBMITTED,2023-03-06T17:54:00+00:00,2023-03-08T03:51:47+00:00,4399,USD,,false,CPL/SRC/events/00014
EV000015,PG,CPL_BILLING,,PAYMENT_POSTED,2023-03-20T15:38:00+00:00,2023-03-25T11:50:27+00:00,4399,USD,,false,CPL/SRC/events/00015
