allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref
AL000001,EV000002,PM-R00001,55035,USD,2023-08-28T07:49:40-07:00,CPL/SRC/allocations/00002
AL000002,EV000004,PM-R00002,10560,USD,2023-04-17T14:19:50-07:00,CPL/SRC/allocations/00004
AL000003,EV000006,PM-R00003,15001,USD,2023-08-10T06:42:30-07:00,CPL/SRC/allocations/00006
AL000004,EV000008,PM-R00004,8134,USD,2022-11-05T16:31:45-07:00,CPL/SRC/allocations/00008
AL000005,EV000010,PM-R00005,2116,USD,2023-08-28T20:01:26-07:00,CPL/SRC/allocations/00010
AL000006,EV000012,PM-R00006,4094,USD,2023-09-26T06:40:43-07:00,CPL/SRC/allocations/00013
AL000007,EV000012,PM-R00007,2031,USD,2023-09-25T18:55:32-07:00,CPL/SRC/allocations/00013
AL000008,EV000016,PM-R00009,23964,USD,2022-09-01T13:36:53-07:00,CPL/SRC/allocations/00016
AL000009,EV000021,PM-R00012,18587,USD,2023-07-14T19:42:43-07:00,CPL/SRC/allocations/00021
AL000010,EV000023,PM-R00013,14469,USD,2022-11-28T14:29:48-08:00,CPL/SRC/allocations/00023
AL000011,EV000025,PM-R00014,28660,USD,2022-10-31T14:27:55-07:00,CPL/SRC/allocations/00025
AL000012,EV000027,PM-R00015,9938,USD,2022-10-23T14:14:38-07:00,CPL/SRC/allocations/00027
AL000013,EV000029,PM-R00016,4690,USD,2023-02-09T04:36:28-08:00,CPL/SRC/allocations/00029
AL000014,EV000031,PM-R00017,14775,USD,2022-09-06T13:42:56-07:00,CPL/SRC/allocations/00031
AL000015,EV000034,PM-R00019,4617,USD,2023-01-26T14:07:43-08:00,CPL/SRC/allocations/00034
AL000016,EV000036,PM-R00020,51362,USD,2023-04-24T10:00:22-07:00,CPL/SRC/allocations/00036
AL000017,EV000039,PM-R00022,4770,USD,2023-02-22T12:18:15-08:00,CPL/SRC/allocations/00039
AL000018,EV000041,PM-R00023,17054,USD,2022-08-31T13:01:30-07:00,CPL/SRC/allocations/00041
AL000019,EV000043,PM-R00024,24841,USD,2023-09-05T05:03:10-07:00,CPL/SRC/allocations/00043
AL000020,EV000046,PM-R00026,6935,USD,2022-08-10T07:29:26-07:00,CPL/SRC/allocations/00046
AL000021,EV000048,PM-R00027,7360,USD,2023-05-02T21:33:28-07:00,CPL/SRC/allocations/00048
AL000022,EV000050,PM-R00028,32361,USD,2022-11-13T23:37:42-08:00,CPL/SRC/allocations/00050
AL000023,EV000052,PM-R00029,106452,USD,2022-10-19T20:46:19-07:00,CPL/SRC/allocations/00052
AL000024,EV000057,PM-R00032,13139,USD,2022-10-28T08:46:40-07:00,CPL/SRC/allocations/00057
AL000025,EV000059,PM-R00033,26411,USD,2023-08-07T16:09:51-07:00,CPL/SRC/allocations/00059
AL000026,EV000061,PM-R00034,7915,USD,2023-01-25T13:42:40-08:00,CPL/SRC/allocations/00061
AL000027,EV000063,PM-R00035,12685,USD,2023-05-22T10:15:07-07:00,CPL/SRC/allocations/00064
AL000028,EV000063,PM-R00036,6483,USD,2023-05-22T10:54:07-07:00,CPL/SRC/allocations/00064
AL000029,EV000066,PM-R00037,6190,USD,2023-07-13T05:41:02-07:00,CPL/SRC/allocations/00066
AL000030,EV000068,PM-R00038,3319,USD,2022-11-08T17:19:48-08:00,CPL/SRC/allocations/00068
AL000031,EV000070,PM-R00039,4032,USD,2022-10-25T10:23:12-07:00,CPL/SRC/allocations/00071
AL000032,EV000070,PM-R00040,3775,USD,2022-10-25T13:24:21-07:00,CPL/SRC/allocations/00071
AL000033,EV000073,PM-R00041,6003,USD,2023-05-15T15:56:20-07:00,CPL/SRC/allocations/00074
AL000034,EV000073,PM-R00042,5566,USD,2023-05-15T22:02:02-07:00,CPL/SRC/allocations/00074
AL000035,EV000076,PM-R00043,17352,USD,2022-12-07T14:22:36-08:00,CPL/SRC/allocations/00076
AL000036,EV000078,PM-R00044,46444,USD,2023-08-08T13:36:21-07:00,CPL/SRC/allocations/00078
AL000037,EV000080,PM-R00045,11594,USD,2023-02-18T18:21:51-08:00,CPL/SRC/allocations/00080
AL000038,EV000082,PM-R00046,10324,USD,2023-05-08T18:44:18-07:00,CPL/SRC/allocations/00082
AL000039,EV000084,PM-R00047,8547,USD,2023-10-27T07:16:01-07:00,CPL/SRC/allocations/00084
AL000040,EV000086,PM-R00048,41304,USD,2022-08-06T00:12:00-07:00,CPL/SRC/allocations/00086
AL000041,EV000088,PM-R00049,19621,USD,2023-06-03T01:44:39-07:00,CPL/SRC/allocations/00088
AL000042,EV000090,PM-R00050,23280,USD,2023-03-12T00:16:45-08:00,CPL/SRC/allocations/00090
AL000043,EV000094,PM-R00052,3360,USD,2023-01-06T08:24:52-08:00,CPL/SRC/allocations/00094
AL000044,EV000096,PM-R00053,14876,USD,2022-11-14T13:05:40-08:00,CPL/SRC/allocations/00096
AL000045,EV000100,PM-R00055,43952,USD,2023-07-15T00:52:29-07:00,CPL/SRC/allocations/00100
AL000046,EV000104,PM-R00057,12639,USD,2023-05-10T17:01:54-07:00,CPL/SRC/allocations/00104
AL000047,EV000106,PM-R00058,2033,USD,2023-05-18T17:49:40-07:00,CPL/SRC/allocations/00106
AL000048,EV000109,PM-R00060,64135,USD,2023-08-21T08:15:21-07:00,CPL/SRC/allocations/00109
AL000049,EV000111,PM-R00061,11810,USD,2023-02-21T16:03:44-08:00,CPL/SRC/allocations/00112
AL000050,EV000111,PM-R00062,6503,USD,2023-02-22T02:01:00-08:00,CPL/SRC/allocations/00112
AL000051,EV000116,PM-R00064,4999,USD,2023-10-05T06:18:29-07:00,CPL/SRC/allocations/00116
AL000052,EV000118,PM-R00065,2760,USD,2023-01-16T12:49:31-08:00,CPL/SRC/allocations/00119
AL000053,EV000118,PM-R00066,3022,USD,2023-01-26T08:32:00-08:00,CPL/SRC/allocations/00119
AL000054,EV000122,PM-R00068,9139,USD,2022-10-30T11:32:22-07:00,CPL/SRC/allocations/00122
AL000055,EV000124,PM-R00069,2969,USD,2023-04-19T13:05:14-07:00,CPL/SRC/allocations/00125
AL000056,EV000124,PM-R00070,1804,USD,2023-04-18T08:40:13-07:00,CPL/SRC/allocations/00125
AL000057,EV000127,PM-R00071,10695,USD,2022-11-14T12:07:08-08:00,CPL/SRC/allocations/00127
AL000058,EV000129,PM-R00072,52383,USD,2023-10-18T21:19:46-07:00,CPL/SRC/allocations/00129
AL000059,EV000131,PM-R00073,2519,USD,2022-12-29T11:13:05-08:00,CPL/SRC/allocations/00131
AL000060,EV000133,PM-R00074,9806,USD,2022-07-18T12:31:39-07:00,CPL/SRC/allocations/00133
AL000061,EV000135,PM-R00075,3440,USD,2023-03-20T16:05:10-07:00,CPL/SRC/allocations/00135
AL000062,EV000137,PM-R00076,2096,USD,2023-02-03T02:00:02-08:00,CPL/SRC/allocations/00137
AL000063,EV000139,PM-R00077,82305,USD,2022-11-29T03:57:31-08:00,CPL/SRC/allocations/00139
AL000064,EV000143,PM-R00079,6241,USD,2022-08-31T03:34:08-07:00,CPL/SRC/allocations/00143
AL000065,EV000145,PM-R00080,262057,USD,2023-06-14T23:53:20-07:00,CPL/SRC/allocations/00145
AL000066,EV000147,PM-R00081,12408,USD,2023-06-01T21:02:24-07:00,CPL/SRC/allocations/00147
AL000067,EV000149,PM-R00082,60487,USD,2023-07-13T08:03:57-07:00,CPL/SRC/allocations/00149
AL000068,EV000151,PM-R00083,15322,USD,2023-04-24T13:28:44-07:00,CPL/SRC/allocations/00151
AL000069,EV000153,PM-R00084,7942,USD,2022-12-06T03:18:44-08:00,CPL/SRC/allocations/00153
AL000070,EV000156,PM-R00086,16556,USD,2023-06-07T10:20:43-07:00,CPL/SRC/allocations/00156
AL000071,EV000158,PM-R00087,6465,USD,2023-06-07T17:37:09-07:00,CPL/SRC/allocations/00158
AL000072,EV000162,PM-R00089,16149,USD,2023-10-09T13:48:42-07:00,CPL/SRC/allocations/00162
AL000073,EV000166,PM-R00091,10842,USD,2022-08-03T03:50:55-07:00,CPL/SRC/allocations/00166
AL000074,EV000168,PM-R00092,5483,USD,2023-04-10T10:13:30-07:00,CPL/SRC/allocations/00168
AL000075,EV000170,PM-R00093,23573,USD,2023-08-10T13:57:33-07:00,CPL/SRC/allocations/00170
AL000076,EV000172,PM-R00094,7357,USD,2023-11-15T13:01:40-08:00,CPL/SRC/allocations/00173
AL000077,EV000172,PM-R00095,7052,USD,2023-09-23T13:10:40-07:00,CPL/SRC/allocations/00173
AL000078,EV000175,PM-R00096,226366,USD,2023-10-11T07:27:30-07:00,CPL/SRC/allocations/00175
AL000079,EV000178,PM-R00098,6042,USD,2023-07-14T09:39:47-07:00,CPL/SRC/allocations/00178
AL000080,EV000180,PM-R00099,5186,USD,2022-09-21T20:09:41-07:00,CPL/SRC/allocations/00180
AL000081,EV000183,PM-R00101,11274,USD,2023-08-02T10:38:51-07:00,CPL/SRC/allocations/00183
AL000082,EV000186,PM-R00103,4452,USD,2022-11-07T13:40:43-08:00,CPL/SRC/allocations/00186
AL000083,EV000191,PM-R00106,5140,USD,2023-04-28T23:04:43-07:00,CPL/SRC/allocations/00191
AL000084,EV000193,PM-R00107,48368,USD,2022-11-02T21:10:29-07:00,CPL/SRC/allocations/00193
AL000085,EV000195,PM-R00108,15734,USD,2023-10-16T23:27:14-07:00,CPL/SRC/allocations/00195
AL000086,EV000197,PM-R00109,22959,USD,2023-06-01T11:03:10-07:00,CPL/SRC/allocations/00197
AL000087,EV000199,PM-R00110,10736,USD,2023-06-23T10:44:11-07:00,CPL/SRC/allocations/00199
AL000088,EV000201,PM-R00111,26907,USD,2023-01-07T20:41:37-08:00,CPL/SRC/allocations/00201
AL000089,EV000203,PM-R00112,53881,USD,2023-06-15T07:43:53-07:00,CPL/SRC/allocations/00203
AL000090,EV000205,PM-R00113,10397,USD,2023-09-27T07:55:29-07:00,CPL/SRC/allocations/00205
AL000091,EV000207,PM-R00114,73635,USD,2023-10-31T20:55:35-07:00,CPL/SRC/allocations/00207
AL000092,EV000209,PM-R00115,42683,USD,2023-08-31T08:14:47-07:00,CPL/SRC/allocations/00209
AL000093,EV000211,PM-R00116,68200,USD,2023-05-11T12:08:53-07:00,CPL/SRC/allocations/00211
AL000094,EV000213,PM-R00117,2824,USD,2023-03-29T07:57:10-07:00,CPL/SRC/allocations/00213
AL000095,EV000217,PM-R00119,4603,USD,2023-04-13T06:45:47-07:00,CPL/SRC/allocations/00217
AL000096,EV000219,PM-R00120,4974,USD,2022-09-02T10:40:57-07:00,CPL/SRC/allocations/00219
AL000097,EV000222,PM-R00122,36875,USD,2023-01-03T14:20:35-08:00,CPL/SRC/allocations/00222
AL000098,EV000224,PM-R00123,27489,USD,2023-10-09T06:48:58-07:00,CPL/SRC/allocations/00224
AL000099,EV000226,PM-R00124,7455,USD,2023-11-12T18:12:40-08:00,CPL/SRC/allocations/00226
AL000100,EV000228,PM-R00125,15505,USD,2023-04-27T18:24:31-07:00,CPL/SRC/allocations/00228
AL000101,EV000230,PM-R00126,15521,USD,2023-04-07T11:16:02-07:00,CPL/SRC/allocations/00230
AL000102,EV000232,PM-R00127,94781,USD,2023-02-07T01:18:02-08:00,CPL/SRC/allocations/00232
AL000103,EV000235,PM-R00129,15168,USD,2023-08-22T14:24:02-07:00,CPL/SRC/allocations/00235
AL000104,EV000239,PM-R00131,11347,USD,2023-02-07T22:05:27-08:00,CPL/SRC/allocations/00239
AL000105,EV000241,PM-R00132,14775,USD,2023-01-07T17:43:58-08:00,CPL/SRC/allocations/00241
AL000106,EV000245,PM-R00134,39557,USD,2023-07-20T11:19:01-07:00,CPL/SRC/allocations/00245
AL000107,EV000247,PM-R00135,13239,USD,2023-10-02T15:08:51-07:00,CPL/SRC/allocations/00247
AL000108,EV000249,PM-R00136,15026,USD,2022-08-08T19:25:04-07:00,CPL/SRC/allocations/00249
AL000109,EV000251,PM-R00137,18136,USD,2023-09-04T04:48:36-07:00,CPL/SRC/allocations/00251
AL000110,EV000255,PM-R00139,192551,USD,2023-09-25T08:42:48-07:00,CPL/SRC/allocations/00255
AL000111,EV000257,PM-R00140,11081,USD,2022-11-02T02:02:38-07:00,CPL/SRC/allocations/00257
AL000112,EV000259,PM-R00141,109622,USD,2022-11-07T14:20:35-08:00,CPL/SRC/allocations/00259
AL000113,EV000261,PM-R00142,7577,USD,2023-10-05T15:15:45-07:00,CPL/SRC/allocations/00261
