event_id,org_token,source_system,bill_record_id,event_type,event_at,available_at,amount_minor,currency,reverses_event_id,terminal_flag,source_ref
EV000001,PM,PM_CLAIMS,PM-R00001,SUBMITTED,2023-08-07T06:26:00-07:00,2023-08-07T13:46:20-07:00,55035,USD,,false,CPL/SRC/events/00001
EV000002,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-08-24T08:21:00-07:00,2023-08-30T12:44:10-07:00,55035,USD,,false,CPL/SRC/events/00002
EV000003,PM,PM_CLAIMS,PM-R00002,SUBMITTED,2023-04-07T10:32:00-07:00,2023-04-12T15:40:22-07:00,10560,USD,,false,CPL/SRC/events/00003
EV000004,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-04-17T07:40:00-07:00,2023-04-19T03:39:08-07:00,10560,USD,,false,CPL/SRC/events/00004
EV000005,PM,PM_CLAIMS,PM-R00003,SUBMITTED,2023-07-28T10:07:00-07:00,2023-07-28T15:54:59-07:00,15001,USD,,false,CPL/SRC/events/00005
EV000006,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-08-10T06:15:00-07:00,2023-08-10T11:23:21-07:00,15001,USD,,false,CPL/SRC/events/00006
EV000007,PM,PM_CLAIMS,PM-R00004,SUBMITTED,2022-09-15T13:34:00-07:00,2022-09-22T23:07:22-07:00,10204,USD,,false,CPL/SRC/events/00007
EV000008,PM,PM_CLAIMS,,PAYMENT_POSTED,2022-11-04T13:12:00-07:00,2022-11-04T20:11:30-07:00,10204,USD,,false,CPL/SRC/events/00008
EV000009,PM,PM_CLAIMS,PM-R00005,SUBMITTED,2023-08-24T06:27:00-07:00,2023-08-27T06:39:11-07:00,3691,USD,,false,CPL/SRC/events/00009
EV000010,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-08-28T14:17:00-07:00,2023-08-30T16:44:22-07:00,3691,USD,,false,CPL/SRC/events/00010
EV000011,PM,PM_CLAIMS,PM-R00006,SUBMITTED,2023-09-13T08:40:00-07:00,2023-09-27T10:41:52-07:00,6125,USD,,false,CPL/SRC/events/00011
EV000012,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-09-25T13:45:00-07:00,2023-09-28T08:10:07-07:00,6125,USD,,false,CPL/SRC/events/00012
