left_record_id,right_record_id,same_lineage,adjudication_status
PM-R00835,PM-R00836,true,confirmed
PM-R00855,PM-R00856,true,confirmed
PM-R00589,PM-R00900,true,confirmed
PM-R00916,PM-R00917,true,confirmed
PM-R00928,PM-R00929,true,confirmed
PM-R00934,PM-R00935,true,confirmed
PM-R00948,PM-R00949,true,confirmed
PM-R00959,PM-R00960,true,confirmed
PM-R00963,PM-R00964,true,confirmed
PM-R00966,PM-R00967,true,confirmed
PM-R00979,PM-R00980,true,confirmed
PM-R01015,PM-R01016,true,confirmed
PM-R01037,PM-R01038,true,confirmed
PM-R01042,PM-R01043,true,confirmed
PM-R01051,PM-R01052,true,confirmed
PM-R00429,PM-R00430,true,confirmed
PM-R00432,PM-R00433,true,confirmed
PM-R00445,PM-R00446,true,confirmed
PM-R00453,PM-R00454,true,confirmed
PM-R00483,PM-R00484,true,confirmed
PM-R00494,PM-R00495,true,confirmed
PM-R00496,PM-R00497,true,confirmed
PM-R00499,PM-R00500,true,confirmed
PM-R00511,PM-R00512,true,confirmed
PM-R00518,PM-R00519,true,confirmed
PM-R00523,PM-R00524,true,confirmed
PM-R00525,PM-R00526,true,confirmed
PM-R00542,PM-R00543,true,confirmed
PM-R00544,PM-R00545,true,confirmed
PM-R00563,PM-R00564,true,confirmed
PM-R00574,PM-R00575,true,confirmed
PM-R00590,PM-R00591,true,confirmed
PM-R00595,PM-R00596,true,confirmed
PM-R00603,PM-R00604,true,confirmed
PM-R00621,PM-R00622,true,confirmed
PM-R00647,PM-R00648,true,confirmed
PM-R00673,PM-R00674,true,confirmed
PM-R00677,PM-R00678,true,confirmed
PM-R00695,PM-R00696,true,confirmed
PM-R00699,PM-R00700,true,confirmed
PM-R00704,PM-R00705,true,confirmed
PM-R00709,PM-R00710,true,confirmed
PM-R00712,PM-R00713,true,confirmed
PM-R00384,PM-R00717,true,confirmed
PM-R00723,PM-R00724,true,confirmed
PM-R00753,PM-R00754,true,confirmed
PM-R00760,PM-R00761,true,confirmed
PM-R00764,PM-R00765,true,confirmed
PM-R00768,PM-R00769,true,confirmed
PM-R00770,PM-R00771,true,confirmed
PM-R00778,PM-R00779,true,confirmed
PM-R00795,PM-R00796,true,confirmed
PM-R00008,PM-R00009,true,confirmed
PM-R00021,PM-R00022,true,confirmed
PM-R00051,PM-R00052,true,confirmed
PM-R00078,PM-R00079,true,confirmed
PM-R00085,PM-R00086,true,confirmed
PM-R00130,PM-R00131,true,confirmed
PM-R00133,PM-R00134,true,confirmed
PM-R00164,PM-R00165,true,confirmed
PM-R00174,PM-R00175,true,confirmed
PM-R00185,PM-R00186,true,confirmed
PM-R00206,PM-R00207,true,confirmed
PM-R00237,PM-R00238,true,confirmed
PM-R00249,PM-R00250,true,confirmed
PM-R00269,PM-R00270,true,confirmed
PM-R00378,PM-R00379,true,confirmed
PM-R00025,PM-R00026,true,confirmed
PM-R00097,PM-R00098,true,confirmed
PM-R00100,PM-R00101,true,confirmed
PM-R00105,PM-R00106,true,confirmed
PM-R00118,PM-R00119,true,confirmed
PM-R00145,PM-R00146,true,confirmed
PM-R00160,PM-R00161,true,confirmed
PM-R00170,PM-R00171,true,confirmed
PM-R00247,PM-R00248,true,confirmed
PM-R00251,PM-R00252,true,confirmed
PM-R00297,PM-R00298,true,confirmed
PM-R00302,PM-R00303,true,confirmed
PM-R00305,PM-R00306,true,confirmed
PM-R00318,PM-R00319,true,confirmed
PM-R00337,PM-R00338,true,confirmed
PM-R00342,PM-R00343,true,confirmed
PM-R00347,PM-R00348,true,confirmed
PM-R00362,PM-R00363,true,confirmed
