allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref
AL000001,EV000002,PM-R00001,55035,USD,2023-08-28T14:49:40+00:00,CPL/SRC/allocations/00002
AL000002,EV000004,PM-R00002,10560,USD,2023-04-17T21:19:50+00:00,CPL/SRC/allocations/00004
AL000003,EV000006,PM-R00003,15001,USD,2023-08-10T13:42:30+00:00,CPL/SRC/allocations/00006
AL000004,EV000008,PM-R00004,8134,USD,2022-11-05T23:31:45+00:00,CPL/SRC/allocations/00008
AL000005,EV000010,PM-R00005,2116,USD,2023-08-29T03:01:26+00:00,CPL/SRC/allocations/00010
AL000006,EV000012,PM-R00006,4094,USD,2023-09-26T13:40:43+00:00,CPL/SRC/allocations/00013
AL000007,EV000012,PM-R00007,2031,USD,2023-09-26T01:55:32+00:00,CPL/SRC/allocations/00013
AL000008,EV000016,PM-R00009,23964,USD,2022-09-01T20:36:53+00:00,CPL/SRC/allocations/00016
AL000009,EV000021,PM-R00012,18587,USD,2023-07-15T02:42:43+00:00,CPL/SRC/allocations/00021
AL000010,EV000023,PM-R00013,14469,USD,2022-11-28T22:29:48+00:00,CPL/SRC/allocations/00023
AL000011,EV000025,PM-R00014,28660,USD,2022-10-31T21:27:55+00:00,CPL/SRC/allocations/00025
AL000012,EV000027,PM-R00015,9938,USD,2022-10-23T21:14:38+00:00,CPL/SRC/allocations/00027
AL000013,EV000029,PM-R00016,4690,USD,2023-02-09T12:36:28+00:00,CPL/SRC/allocations/00029
AL000014,EV000031,PM-R00017,14775,USD,2022-09-06T20:42:56+00:00,CPL/SRC/allocations/00031
AL000015,EV000034,PM-R00019,4617,USD,2023-01-26T22:07:43+00:00,CPL/SRC/allocations/00034
AL000016,EV000036,PM-R00020,51362,USD,2023-04-24T17:00:22+00:00,CPL/SRC/allocations/00036
AL000017,EV000039,PM-R00022,4770,USD,2023-02-22T20:18:15+00:00,CPL/SRC/allocations/00039
AL000018,EV000041,PM-R00023,17054,USD,2022-08-31T20:01:30+00:00,CPL/SRC/allocations/00041
AL000019,EV000043,PM-R00024,24841,USD,2023-09-05T12:03:10+00:00,CPL/SRC/allocations/00043
AL000020,EV000046,PM-R00026,6935,USD,2022-08-10T14:29:26+00:00,CPL/SRC/allocations/00046
AL000021,EV000048,PM-R00027,7360,USD,2023-05-03T04:33:28+00:00,CPL/SRC/allocations/00048
AL000022,EV000050,PM-R00028,32361,USD,2022-11-14T07:37:42+00:00,CPL/SRC/allocations/00050
AL000023,EV000052,PM-R00029,106452,USD,2022-10-20T03:46:19+00:00,CPL/SRC/allocations/00052
AL000024,EV000057,PM-R00032,13139,USD,2022-10-28T15:46:40+00:00,CPL/SRC/allocations/00057
AL000025,EV000059,PM-R00033,26411,USD,2023-08-07T23:09:51+00:00,CPL/SRC/allocations/00059
AL000026,EV000061,PM-R00034,7915,USD,2023-01-25T21:42:40+00:00,CPL/SRC/allocations/00061
AL000027,EV000063,PM-R00035,12685,USD,2023-05-22T17:15:07+00:00,CPL/SRC/allocations/00064
AL000028,EV000063,PM-R00036,6483,USD,2023-05-22T17:54:07+00:00,CPL/SRC/allocations/00064
AL000029,EV000066,PM-R00037,6190,USD,2023-07-13T12:41:02+00:00,CPL/SRC/allocations/00066
AL000030,EV000068,PM-R00038,3319,USD,2022-11-09T01:19:48+00:00,CPL/SRC/allocations/00068
AL000031,EV000070,PM-R00039,4032,USD,2022-10-25T17:23:12+00:00,CPL/SRC/allocations/00071
AL000032,EV000070,PM-R00040,3775,USD,2022-10-25T20:24:21+00:00,CPL/SRC/allocations/00071
AL000033,EV000073,PM-R00041,6003,USD,2023-05-15T22:56:20+00:00,CPL/SRC/allocations/00074
AL000034,EV000073,PM-R00042,5566,USD,2023-05-16T05:02:02+00:00,CPL/SRC/allocations/00074
AL000035,EV000076,PM-R00043,17352,USD,2022-12-07T22:22:36+00:00,CPL/SRC/allocations/00076
AL000036,EV000078,PM-R00044,46444,USD,2023-08-08T20:36:21+00:00,CPL/SRC/allocations/00078
AL000037,EV000080,PM-R00045,11594,USD,2023-02-19T02:21:51+00:00,CPL/SRC/allocations/00080
AL000038,EV000082,PM-R00046,10324,USD,2023-05-09T01:44:18+00:00,CPL/SRC/allocations/00082
AL000039,EV000084,PM-R00047,8547,USD,2023-10-27T14:16:01+00:00,CPL/SRC/allocations/00084
AL000040,EV000086,PM-R00048,41304,USD,2022-08-06T07:12:00+00:00,CPL/SRC/allocations/00086
AL000041,EV000088,PM-R00049,19621,USD,2023-06-03T08:44:39+00:00,CPL/SRC/allocations/00088
AL000042,EV000090,PM-R00050,23280,USD,2023-03-12T08:16:45+00:00,CPL/SRC/allocations/00090
