event_id,org_token,source_system,bill_record_id,event_type,event_at,available_at,amount_minor,currency,reverses_event_id,terminal_flag,source_ref
EV000001,PM,PM_CLAIMS,PM-R00001,SUBMITTED,2023-08-07T13:26:00+00:00,2023-08-07T20:46:20+00:00,55035,USD,,false,CPL/SRC/events/00001
EV000002,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-08-24T15:21:00+00:00,2023-08-30T19:44:10+00:00,55035,USD,,false,CPL/SRC/events/00002
EV000003,PM,PM_CLAIMS,PM-R00002,SUBMITTED,2023-04-07T17:32:00+00:00,2023-04-12T22:40:22+00:00,10560,USD,,false,CPL/SRC/events/00003
EV000004,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-04-17T14:40:00+00:00,2023-04-19T10:39:08+00:00,10560,USD,,false,CPL/SRC/events/00004
EV000005,PM,PM_CLAIMS,PM-R00003,SUBMITTED,2023-07-28T17:07:00+00:00,2023-07-28T22:54:59+00:00,15001,USD,,false,CPL/SRC/events/00005
EV000006,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-08-10T13:15:00+00:00,2023-08-10T18:23:21+00:00,15001,USD,,false,CPL/SRC/events/00006
EV000007,PM,PM_CLAIMS,PM-R00004,SUBMITTED,2022-09-15T20:34:00+00:00,2022-09-23T06:07:22+00:00,10204,USD,,false,CPL/SRC/events/00007
EV000008,PM,PM_CLAIMS,,PAYMENT_POSTED,2022-11-04T20:12:00+00:00,2022-11-05T03:11:30+00:00,10204,USD,,false,CPL/SRC/events/00008
EV000009,PM,PM_CLAIMS,PM-R00005,SUBMITTED,2023-08-24T13:27:00+00:00,2023-08-27T13:39:11+00:00,3691,USD,,false,CPL/SRC/events/00009
EV000010,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-08-28T21:17:00+00:00,2023-08-30T23:44:22+00:00,3691,USD,,false,CPL/SRC/events/00010
EV000011,PM,PM_CLAIMS,PM-R00006,SUBMITTED,2023-09-13T15:40:00+00:00,2023-09-27T17:41:52+00:00,6125,USD,,false,CPL/SRC/events/00011
EV000012,PM,PM_CLAIMS,,PAYMENT_POSTED,2023-09-25T20:45:00+00:00,2023-09-28T15:10:07+00:00,6125,USD,,false,CPL/SRC/events/00012
EV000013,PM,PM_CLAIMS,PM-R00007,SUBMITTED,2023-09-12T14:41:00+00:00,2023-09-12T18:32:13+00:00,15275,USD,,false,CPL/SRC/events/00013
EV000014,PM,PM_CLAIMS,PM-R00008,SUBMITTED,2022-08-15T21:56:00+00:00,2022-08-15T23:19:27+00:00,40073,USD,,false,CPL/SRC/events/00014
EV000015,PM,PM_CLAIMS,PM-R00009,CORRECTED,2022-08-18T18:36:00+00:00,2022-08-21T13:27:48+00:00,35532,USD,,false,CPL/SRC/events/00015
EV000016,PM,PM_CLAIMS,,PAYMENT_POSTED,2022-09-01T17:17:00+00:00,2022-09-08T03:15:57+00:00,35532,USD,,false,CPL/SRC/events/00016
EV000017,PM,PM_CLAIMS,PM-R00010,SUBMITTED,2022-09-05T18:40:00+00:00,2022-09-05T19:03:50+00:00,67780,USD,,false,CPL/SRC/events/00017
EV000018,PM,PM_CLAIMS,PM-R00010,CLOSED_NO_PAYMENT,2022-10-17T14:07:00+00:00,2022-10-17T15:27:31+00:00,,,,true,CPL/SRC/events/00018
EV000019,PM,PM_CLAIMS,PM-R00011,SUBMITTED,2023-09-14T21:30:00+00:00,2023-09-15T17:54:16+00:00,23213,USD,,false,CPL/SRC/events/00019
EV000020,PM,PM_CLAIMS,PM-R00012,SUBMITTED,2023-06-16T15:18:00+00:00,2023-06-16T17:31:20+00:00,30891,USD,,false,CPL/SRC/events/00020
