run_id,as_of,method_version,left_record_id,right_record_id,decision,rule_ids,reason,score,score_kind,review_required
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00025,PM-R00026,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00085,PM-R00086,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00097,PM-R00098,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00133,PM-R00134,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00145,PM-R00146,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00160,PM-R00161,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00164,PM-R00165,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00174,PM-R00175,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00185,PM-R00186,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00206,PM-R00207,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00247,PM-R00248,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00251,PM-R00252,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00269,PM-R00270,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00297,PM-R00298,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00302,PM-R00303,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00305,PM-R00306,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00318,PM-R00319,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00347,PM-R00348,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00378,PM-R00379,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00432,PM-R00433,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00445,PM-R00446,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00453,PM-R00454,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00494,PM-R00495,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00496,PM-R00497,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00499,PM-R00500,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00511,PM-R00512,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00518,PM-R00519,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00523,PM-R00524,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00542,PM-R00543,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00563,PM-R00564,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00574,PM-R00575,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00595,PM-R00596,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00603,PM-R00604,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00647,PM-R00648,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00673,PM-R00674,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00677,PM-R00678,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00695,PM-R00696,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00699,PM-R00700,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00709,PM-R00710,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00712,PM-R00713,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00753,PM-R00754,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00764,PM-R00765,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00768,PM-R00769,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00778,PM-R00779,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00795,PM-R00796,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00835,PM-R00836,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00855,PM-R00856,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00928,PM-R00929,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00934,PM-R00935,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00948,PM-R00949,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00959,PM-R00960,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00963,PM-R00964,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00966,PM-R00967,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00979,PM-R00980,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R01015,PM-R01016,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00008,PM-R00009,accepted,R2_same_bill_id_versions,version chain 1->2 of 2022-4000008,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00021,PM-R00022,accepted,R2_same_bill_id_versions,version chain 1->2 of 2022-4000020,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00051,PM-R00052,accepted,R2_same_bill_id_versions,version chain 1->2 of 2022-4000048,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00078,PM-R00079,accepted,R2_same_bill_id_versions,version chain 1->2 of 2022-4000074,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00100,PM-R00101,accepted,R2_same_bill_id_versions,version chain 1->2 of 2023-4000093,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00105,PM-R00106,accepted,R2_same_bill_id_versions,version chain 1->2 of 2023-4000097,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00118,PM-R00119,accepted,R2_same_bill_id_versions,version chain 1->2 of 2023-4000109,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00130,PM-R00131,accepted,R2_same_bill_id_versions,version chain 1->2 of 2022-4000120,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00170,PM-R00171,accepted,R2_same_bill_id_versions,version chain 1->2 of 2023-4000155,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00237,PM-R00238,accepted,R2_same_bill_id_versions,version chain 1->2 of 2022-4000218,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00249,PM-R00250,accepted,R2_same_bill_id_versions,version chain 1->2 of 2022-4000228,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00337,PM-R00338,accepted,R2_same_bill_id_versions,version chain 1->2 of 2023-4000309,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00342,PM-R00343,accepted,R2_same_bill_id_versions,version chain 1->2 of 2023-4000313,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00362,PM-R00363,accepted,R2_same_bill_id_versions,version chain 1->2 of 2023-4000331,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00429,PM-R00430,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000011,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00483,PM-R00484,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000061,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00525,PM-R00526,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000096,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00544,PM-R00545,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000113,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00590,PM-R00591,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000156,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00621,PM-R00622,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000184,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00704,PM-R00705,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000261,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00723,PM-R00724,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000277,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00760,PM-R00761,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000312,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00770,PM-R00771,accepted,R2_same_bill_id_versions,version chain 1->2 of 2000319,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R00916,PM-R00917,accepted,R2_same_bill_id_versions,version chain 1->2 of 08000114,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R01037,PM-R01038,accepted,R2_same_bill_id_versions,version chain 1->2 of 08000226,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R01042,PM-R01043,accepted,R2_same_bill_id_versions,version chain 1->2 of 08000230,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
run-PM-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,PM-R01051,PM-R01052,accepted,R2_same_bill_id_versions,version chain 1->2 of 08000238,0.9,UNVALIDATED_SCORE_UNLESS_CALIBRATED,false
