allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref,org_token
AL000001,EV000004,CPL-R00002,5771,USD,2023-02-28T09:20:35-06:00,CPL/SRC/allocations/00004,WCP
AL000002,EV000006,CPL-R00003,4300,USD,2023-07-03T17:47:17-05:00,CPL/SRC/allocations/00007,WCP
AL000003,EV000006,CPL-R00004,4894,USD,2023-07-03T14:11:45-05:00,CPL/SRC/allocations/00007,WCP
AL000004,EV000009,CPL-R00005,12897,USD,2023-09-02T01:16:14-05:00,CPL/SRC/allocations/00009,WCP
AL000005,EV000014,CPL-R00008,4527,USD,2023-09-21T11:06:15-05:00,CPL/SRC/allocations/00014,WCP
AL000006,EV000016,CPL-R00009,7031,USD,2023-10-02T15:37:30-05:00,CPL/SRC/allocations/00016,WCP
AL000007,EV000019,CPL-R00011,10571,USD,2023-09-28T21:47:12-05:00,CPL/SRC/allocations/00019,WCP
AL000008,EV000021,CPL-R00012,20141,USD,2022-12-22T08:36:54-06:00,CPL/SRC/allocations/00021,WCP
AL000009,EV000023,CPL-R00013,6229,USD,2023-05-15T17:25:40-05:00,CPL/SRC/allocations/00023,WCP
AL000010,EV000025,CPL-R00014,7598,USD,2023-04-28T15:16:40-05:00,CPL/SRC/allocations/00025,WCP
AL000011,EV000028,CPL-R00016,5733,USD,2023-10-20T06:10:12-05:00,CPL/SRC/allocations/00028,WCP
AL000012,EV000030,CPL-R00017,11662,USD,2023-10-07T00:52:04-05:00,CPL/SRC/allocations/00031,WCP
AL000013,EV000030,CPL-R00018,6947,USD,2023-10-06T14:01:32-05:00,CPL/SRC/allocations/00031,WCP
AL000014,EV000033,CPL-R00019,38534,USD,2023-02-13T18:32:44-06:00,CPL/SRC/allocations/00033,WCP
AL000015,EV000035,CPL-R00020,4673,USD,2022-12-09T03:54:57-06:00,CPL/SRC/allocations/00035,WCP
AL000016,EV000038,CPL-R00022,4686,USD,2023-02-28T12:46:40-06:00,CPL/SRC/allocations/00038,WCP
AL000017,EV000040,CPL-R00023,2500,USD,2022-11-02T06:55:31-05:00,CPL/SRC/allocations/00040,WCP
AL000018,EV000042,CPL-R00024,6738,USD,2023-03-18T00:36:08-05:00,CPL/SRC/allocations/00042,WCP
AL000019,EV000044,CPL-R00025,54258,USD,2022-12-25T12:44:34-06:00,CPL/SRC/allocations/00044,WCP
AL000020,EV000046,CPL-R00026,5169,USD,2023-03-06T20:01:34-06:00,CPL/SRC/allocations/00046,WCP
AL000021,EV000049,CPL-R00028,4558,USD,2023-09-30T06:02:18-05:00,CPL/SRC/allocations/00049,WCP
AL000022,EV000053,CPL-R00030,6374,USD,2022-09-27T15:46:59-05:00,CPL/SRC/allocations/00053,WCP
AL000023,EV000057,CPL-R00032,2920,USD,2023-04-04T04:45:58-05:00,CPL/SRC/allocations/00057,WCP
AL000024,EV000059,CPL-R00033,3934,USD,2023-10-09T17:56:59-05:00,CPL/SRC/allocations/00059,WCP
AL000025,EV000061,CPL-R00034,37538,USD,2023-04-25T04:10:56-05:00,CPL/SRC/allocations/00061,WCP
AL000026,EV000063,CPL-R00035,3947,USD,2023-05-14T17:20:39-05:00,CPL/SRC/allocations/00063,WCP
AL000027,EV000065,CPL-R00036,177337,USD,2023-09-11T11:49:22-05:00,CPL/SRC/allocations/00066,WCP
AL000028,EV000065,CPL-R00037,88328,USD,2023-09-12T06:06:16-05:00,CPL/SRC/allocations/00066,WCP
AL000029,EV000068,CPL-R00038,57284,USD,2023-02-18T02:59:30-06:00,CPL/SRC/allocations/00068,WCP
AL000030,EV000070,CPL-R00039,14568,USD,2023-03-19T04:04:49-05:00,CPL/SRC/allocations/00070,WCP
AL000031,EV000072,CPL-R00040,11981,USD,2023-04-05T08:57:23-05:00,CPL/SRC/allocations/00072,WCP
AL000032,EV000077,CPL-R00043,4210,USD,2023-10-05T19:01:44-05:00,CPL/SRC/allocations/00077,WCP
AL000033,EV000079,CPL-R00044,34037,USD,2023-10-02T22:12:43-05:00,CPL/SRC/allocations/00079,WCP
AL000034,EV000081,CPL-R00045,2027,USD,2023-04-24T19:06:32-05:00,CPL/SRC/allocations/00081,WCP
AL000035,EV000083,CPL-R00046,13575,USD,2022-08-30T18:09:16-05:00,CPL/SRC/allocations/00083,WCP
AL000036,EV000085,CPL-R00047,33508,USD,2022-12-28T22:00:13-06:00,CPL/SRC/allocations/00086,WCP
AL000037,EV000085,CPL-R00048,20618,USD,2022-12-28T21:52:23-06:00,CPL/SRC/allocations/00086,WCP
AL000038,EV000088,CPL-R00049,10489,USD,2023-06-26T01:52:16-05:00,CPL/SRC/allocations/00088,WCP
AL000039,EV000090,CPL-R00050,27093,USD,2023-05-08T09:59:00-05:00,CPL/SRC/allocations/00090,WCP
AL000040,EV000093,CPL-R00052,12279,USD,2022-10-29T20:05:27-05:00,CPL/SRC/allocations/00093,WCP
