event_id,org_token,source_system,bill_record_id,event_type,event_at,available_at,amount_minor,currency,reverses_event_id,terminal_flag,source_ref
EV000001,WCP,WCP_CLAIMS,WCP-R00001,SUBMITTED,2023-07-17T10:03:00-05:00,2023-07-19T03:17:56-05:00,35144,USD,,false,CPL/SRC/events/00001
EV000002,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-08-07T10:28:00-05:00,2023-08-08T07:58:16-05:00,35144,USD,,false,CPL/SRC/events/00002
EV000003,WCP,WCP_CLAIMS,WCP-R00002,SUBMITTED,2023-02-16T16:27:00-06:00,2023-02-18T15:21:09-06:00,6135,USD,,false,CPL/SRC/events/00003
EV000004,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-03-01T12:00:00-06:00,2023-03-03T06:38:27-06:00,6135,USD,,false,CPL/SRC/events/00004
EV000005,WCP,WCP_CLAIMS,WCP-R00003,SUBMITTED,2023-02-13T13:02:00-06:00,2023-02-15T05:30:36-06:00,6503,USD,,false,CPL/SRC/events/00005
EV000006,WCP,WCP_CLAIMS,WCP-R00004,SUBMITTED,2023-06-05T11:36:00-05:00,2023-06-05T13:35:33-05:00,38800,USD,,false,CPL/SRC/events/00006
EV000007,WCP,WCP_CLAIMS,WCP-R00005,SUBMITTED,2022-07-07T10:29:00-05:00,2022-07-09T16:11:28-05:00,4392,USD,,false,CPL/SRC/events/00007
EV000008,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-07-27T15:14:00-05:00,2022-07-27T22:19:02-05:00,4392,USD,,false,CPL/SRC/events/00008
EV000009,WCP,WCP_CLAIMS,WCP-R00006,SUBMITTED,2023-03-10T14:32:00-06:00,2023-03-10T17:34:24-06:00,64852,USD,,false,CPL/SRC/events/00009
EV000010,WCP,WCP_CLAIMS,WCP-R00007,CORRECTED,2023-03-15T16:06:00-05:00,2023-03-19T06:50:24-05:00,58710,USD,,false,CPL/SRC/events/00010
EV000011,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-04-12T13:59:00-05:00,2023-04-15T09:07:26-05:00,58710,USD,,false,CPL/SRC/events/00011
EV000012,WCP,WCP_CLAIMS,WCP-R00007,PAYMENT_REVERSED,2023-04-17T16:30:00-05:00,2023-04-17T18:10:05-05:00,39677,USD,EV000011,false,CPL/SRC/events/00012
EV000013,WCP,WCP_CLAIMS,WCP-R00008,SUBMITTED,2022-11-21T16:51:00-06:00,2022-11-30T22:45:48-06:00,2602,USD,,false,CPL/SRC/events/00013
EV000014,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-12-12T13:46:00-06:00,2022-12-14T09:59:55-06:00,2602,USD,,false,CPL/SRC/events/00014
EV000015,WCP,WCP_CLAIMS,WCP-R00009,SUBMITTED,2023-06-05T14:40:00-05:00,2023-06-05T16:22:10-05:00,4641,USD,,false,CPL/SRC/events/00015
EV000016,WCP,WCP_CLAIMS,WCP-R00010,CORRECTED,2023-06-09T16:48:00-05:00,2023-06-11T09:37:17-05:00,4389,USD,,false,CPL/SRC/events/00016
EV000017,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-07-03T15:05:00-05:00,2023-07-03T18:26:03-05:00,4389,USD,,false,CPL/SRC/events/00017
EV000018,WCP,WCP_CLAIMS,WCP-R00011,SUBMITTED,2022-09-22T10:02:00-05:00,2022-09-22T12:05:49-05:00,9945,USD,,false,CPL/SRC/events/00018
EV000019,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-10-05T10:35:00-05:00,2022-10-05T16:02:18-05:00,9945,USD,,false,CPL/SRC/events/00019
EV000020,WCP,WCP_CLAIMS,WCP-R00012,SUBMITTED,2022-10-17T09:45:00-05:00,2022-10-28T20:00:14-05:00,211820,USD,,false,CPL/SRC/events/00020
EV000021,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-10-31T13:18:00-05:00,2022-11-01T05:43:20-05:00,211820,USD,,false,CPL/SRC/events/00021
EV000022,WCP,WCP_CLAIMS,WCP-R00013,SUBMITTED,2023-04-13T12:39:00-05:00,2023-04-13T18:27:15-05:00,19824,USD,,false,CPL/SRC/events/00022
EV000023,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-05-04T11:01:00-05:00,2023-05-23T01:11:09-05:00,19824,USD,,false,CPL/SRC/events/00023
EV000024,WCP,WCP_CLAIMS,WCP-R00014,SUBMITTED,2023-04-10T12:59:00-05:00,2023-04-10T18:18:59-05:00,11916,USD,,false,CPL/SRC/events/00024
EV000025,WCP,WCP_CLAIMS,WCP-R00015,SUBMITTED,2023-04-27T14:34:00-05:00,2023-04-30T17:50:58-05:00,6978,USD,,false,CPL/SRC/events/00025
EV000026,WCP,WCP_CLAIMS,WCP-R00016,SUBMITTED,2023-06-12T15:29:00-05:00,2023-06-15T15:06:26-05:00,3831,USD,,false,CPL/SRC/events/00026
EV000027,WCP,WCP_CLAIMS,WCP-R00017,CORRECTED,2023-06-19T08:46:00-05:00,2023-06-22T14:28:26-05:00,4510,USD,,false,CPL/SRC/events/00027
EV000028,WCP,WCP_CLAIMS,WCP-R00016,VOID_VERSION,2023-06-19T08:46:00-05:00,2023-06-28T02:48:54-05:00,3831,USD,,false,CPL/SRC/events/00028
EV000029,WCP,WCP_CLAIMS,WCP-R00018,SUBMITTED,2022-08-29T14:24:00-05:00,2022-08-29T19:33:56-05:00,19394,USD,,false,CPL/SRC/events/00029
EV000030,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-09-20T16:19:00-05:00,2022-09-20T19:24:15-05:00,19394,USD,,false,CPL/SRC/events/00030
EV000031,WCP,WCP_CLAIMS,WCP-R00019,SUBMITTED,2023-05-26T14:22:00-05:00,2023-05-26T20:28:25-05:00,7588,USD,,false,CPL/SRC/events/00031
EV000032,WCP,WCP_CLAIMS,WCP-R00020,SUBMITTED,2022-10-25T09:26:00-05:00,2022-10-25T15:27:41-05:00,15430,USD,,false,CPL/SRC/events/00032
EV000033,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-11-28T08:50:00-06:00,2022-11-28T12:40:23-06:00,15430,USD,,false,CPL/SRC/events/00033
EV000034,WCP,WCP_CLAIMS,WCP-R00021,SUBMITTED,2023-06-19T10:53:00-05:00,2023-06-19T11:58:12-05:00,15726,USD,,false,CPL/SRC/events/00034
EV000035,WCP,WCP_CLAIMS,WCP-R00022,CORRECTED,2023-06-29T09:10:00-05:00,2023-06-29T13:25:46-05:00,16929,USD,,false,CPL/SRC/events/00035
EV000036,WCP,WCP_CLAIMS,WCP-R00021,VOID_VERSION,2023-06-29T09:10:00-05:00,2023-07-02T06:42:22-05:00,15726,USD,,false,CPL/SRC/events/00036
EV000037,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-07-10T09:10:00-05:00,2023-07-10T10:20:36-05:00,16929,USD,,false,CPL/SRC/events/00037
EV000038,WCP,WCP_CLAIMS,WCP-R00023,SUBMITTED,2023-08-03T12:54:00-05:00,2023-08-07T04:32:40-05:00,5790,USD,,false,CPL/SRC/events/00038
EV000039,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-08-23T15:49:00-05:00,2023-08-24T17:24:26-05:00,5790,USD,,false,CPL/SRC/events/00039
EV000040,WCP,WCP_CLAIMS,WCP-R00024,SUBMITTED,2023-09-18T10:50:00-05:00,2023-09-18T18:33:36-05:00,18044,USD,,false,CPL/SRC/events/00040
EV000041,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-10-16T16:35:00-05:00,2023-10-20T07:42:50-05:00,18044,USD,,false,CPL/SRC/events/00041
EV000042,WCP,WCP_CLAIMS,WCP-R00025,SUBMITTED,2023-07-03T08:33:00-05:00,2023-07-03T16:13:15-05:00,186236,USD,,false,CPL/SRC/events/00042
EV000043,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-07-10T12:31:00-05:00,2023-07-11T11:53:14-05:00,186236,USD,,false,CPL/SRC/events/00043
EV000044,WCP,WCP_CLAIMS,WCP-R00026,SUBMITTED,2022-11-25T09:00:00-06:00,2022-11-27T01:10:08-06:00,5751,USD,,false,CPL/SRC/events/00044
EV000045,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-01-02T09:02:00-06:00,2023-01-04T19:47:43-06:00,5751,USD,,false,CPL/SRC/events/00045
EV000046,WCP,WCP_CLAIMS,WCP-R00027,SUBMITTED,2023-07-10T08:20:00-05:00,2023-07-11T11:34:27-05:00,25275,USD,,false,CPL/SRC/events/00046
EV000047,WCP,WCP_CLAIMS,WCP-R00028,CORRECTED,2023-07-20T15:17:00-05:00,2023-07-20T16:49:58-05:00,25917,USD,,false,CPL/SRC/events/00047
EV000048,WCP,WCP_CLAIMS,WCP-R00027,VOID_VERSION,2023-07-20T15:17:00-05:00,2023-07-20T18:47:10-05:00,25275,USD,,false,CPL/SRC/events/00048
EV000049,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-07-17T13:19:00-05:00,2023-07-17T18:00:35-05:00,25917,USD,,false,CPL/SRC/events/00049
EV000050,WCP,WCP_CLAIMS,WCP-R00029,SUBMITTED,2023-07-10T11:16:00-05:00,2023-07-10T18:12:44-05:00,11815,USD,,false,CPL/SRC/events/00050
EV000051,WCP,WCP_CLAIMS,WCP-R00030,SUBMITTED,2023-05-08T12:49:00-05:00,2023-05-10T20:35:00-05:00,10655,USD,,false,CPL/SRC/events/00051
EV000052,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-06-19T11:14:00-05:00,2023-06-20T00:20:47-05:00,10655,USD,,false,CPL/SRC/events/00052
EV000053,WCP,WCP_CLAIMS,WCP-R00031,SUBMITTED,2022-07-29T11:17:00-05:00,2022-07-29T14:43:27-05:00,18984,USD,,false,CPL/SRC/events/00053
EV000054,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-09-19T09:08:00-05:00,2022-09-19T15:18:09-05:00,18984,USD,,false,CPL/SRC/events/00054
EV000055,WCP,WCP_CLAIMS,WCP-R00032,SUBMITTED,2023-08-16T11:04:00-05:00,2023-08-19T21:39:38-05:00,7055,USD,,false,CPL/SRC/events/00055
EV000056,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-08-21T12:13:00-05:00,2023-08-21T13:37:13-05:00,7055,USD,,false,CPL/SRC/events/00056
EV000057,WCP,WCP_CLAIMS,WCP-R00033,SUBMITTED,2022-07-12T12:37:00-05:00,2022-07-16T18:25:09-05:00,34126,USD,,false,CPL/SRC/events/00057
EV000058,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-08-10T08:39:00-05:00,2022-08-15T05:38:50-05:00,34126,USD,,false,CPL/SRC/events/00058
EV000059,WCP,WCP_CLAIMS,WCP-R00034,SUBMITTED,2022-07-11T10:19:00-05:00,2022-07-13T03:01:53-05:00,5507,USD,,false,CPL/SRC/events/00059
EV000060,WCP,WCP_CLAIMS,WCP-R00033,PAYMENT_REVERSED,2022-08-12T13:25:00-05:00,2022-08-19T21:55:34-05:00,21033,USD,EV000058,false,CPL/SRC/events/00060
EV000061,WCP,WCP_CLAIMS,WCP-R00035,SUBMITTED,2023-09-18T12:33:00-05:00,2023-09-19T05:02:11-05:00,9376,USD,,false,CPL/SRC/events/00061
EV000062,WCP,WCP_CLAIMS,WCP-R00036,CORRECTED,2023-09-29T16:14:00-05:00,2023-09-29T23:45:11-05:00,11289,USD,,false,CPL/SRC/events/00062
EV000063,WCP,WCP_CLAIMS,WCP-R00035,VOID_VERSION,2023-09-29T16:14:00-05:00,2023-10-02T15:22:28-05:00,9376,USD,,false,CPL/SRC/events/00063
EV000064,WCP,WCP_CLAIMS,WCP-R00037,SUBMITTED,2022-09-07T15:30:00-05:00,2022-09-09T11:52:27-05:00,9895,USD,,false,CPL/SRC/events/00064
EV000065,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-09-20T08:43:00-05:00,2022-09-30T10:13:58-05:00,9895,USD,,false,CPL/SRC/events/00065
