left_record_id,right_record_id,same_lineage,adjudication_status
WCP-R01042,WCP-R01043,true,confirmed
WCP-R01064,WCP-R01065,true,confirmed
WCP-R01067,WCP-R01068,true,confirmed
WCP-R01078,WCP-R01079,true,confirmed
WCP-R01084,WCP-R01085,true,confirmed
WCP-R01086,WCP-R01087,true,confirmed
WCP-R01088,WCP-R01089,true,confirmed
WCP-R01111,WCP-R01112,true,confirmed
WCP-R01123,WCP-R01124,true,confirmed
WCP-R01149,WCP-R01150,true,confirmed
WCP-R00752,WCP-R01163,true,confirmed
WCP-R01165,WCP-R01166,true,confirmed
WCP-R01171,WCP-R01172,true,confirmed
WCP-R01196,WCP-R01197,true,confirmed
WCP-R01204,WCP-R01205,true,confirmed
WCP-R01208,WCP-R01209,true,confirmed
WCP-R01212,WCP-R01213,true,confirmed
WCP-R01214,WCP-R01215,true,confirmed
WCP-R01228,WCP-R01229,true,confirmed
WCP-R01277,WCP-R01278,true,confirmed
WCP-R01295,WCP-R01296,true,confirmed
WCP-R01297,WCP-R01298,true,confirmed
WCP-R01302,WCP-R01303,true,confirmed
WCP-R01304,WCP-R01305,true,confirmed
WCP-R01343,WCP-R01344,true,confirmed
WCP-R01357,WCP-R01358,true,confirmed
WCP-R01369,WCP-R01370,true,confirmed
WCP-R00583,WCP-R00584,true,confirmed
WCP-R00597,WCP-R00598,true,confirmed
WCP-R00613,WCP-R00614,true,confirmed
WCP-R00626,WCP-R00627,true,confirmed
WCP-R00634,WCP-R00635,true,confirmed
WCP-R00643,WCP-R00644,true,confirmed
WCP-R00652,WCP-R00653,true,confirmed
WCP-R00663,WCP-R00664,true,confirmed
WCP-R00676,WCP-R00677,true,confirmed
WCP-R00678,WCP-R00679,true,confirmed
WCP-R00680,WCP-R00681,true,confirmed
WCP-R00711,WCP-R00712,true,confirmed
WCP-R00734,WCP-R00735,true,confirmed
WCP-R00745,WCP-R00746,true,confirmed
WCP-R00792,WCP-R00793,true,confirmed
WCP-R00798,WCP-R00799,true,confirmed
WCP-R00815,WCP-R00816,true,confirmed
WCP-R00823,WCP-R01100,true,confirmed
WCP-R00854,WCP-R00855,true,confirmed
WCP-R00874,WCP-R00875,true,confirmed
WCP-R00877,WCP-R00878,true,confirmed
WCP-R00883,WCP-R00884,true,confirmed
WCP-R00893,WCP-R00894,true,confirmed
WCP-R00907,WCP-R00908,true,confirmed
WCP-R00929,WCP-R00930,true,confirmed
WCP-R00159,WCP-R00953,true,confirmed
WCP-R00957,WCP-R00958,true,confirmed
WCP-R00968,WCP-R00969,true,confirmed
WCP-R00981,WCP-R00982,true,confirmed
WCP-R00990,WCP-R00991,true,confirmed
WCP-R01019,WCP-R01020,true,confirmed
WCP-R01031,WCP-R01032,true,confirmed
WCP-R00006,WCP-R00007,true,confirmed
WCP-R00009,WCP-R00010,true,confirmed
WCP-R00016,WCP-R00017,true,confirmed
WCP-R00021,WCP-R00022,true,confirmed
WCP-R00035,WCP-R00036,true,confirmed
WCP-R00038,WCP-R00039,true,confirmed
WCP-R00069,WCP-R00070,true,confirmed
WCP-R00084,WCP-R00085,true,confirmed
WCP-R00120,WCP-R00121,true,confirmed
WCP-R00141,WCP-R00142,true,confirmed
WCP-R00157,WCP-R00158,true,confirmed
WCP-R00179,WCP-R00180,true,confirmed
WCP-R00182,WCP-R00183,true,confirmed
WCP-R00197,WCP-R00198,true,confirmed
WCP-R00206,WCP-R00207,true,confirmed
WCP-R00225,WCP-R00226,true,confirmed
WCP-R00239,WCP-R00240,true,confirmed
WCP-R00248,WCP-R00249,true,confirmed
WCP-R00253,WCP-R00254,true,confirmed
WCP-R00259,WCP-R00260,true,confirmed
WCP-R00269,WCP-R00270,true,confirmed
WCP-R00294,WCP-R00295,true,confirmed
WCP-R00321,WCP-R00322,true,confirmed
WCP-R00340,WCP-R00341,true,confirmed
WCP-R00353,WCP-R00354,true,confirmed
WCP-R00397,WCP-R00398,true,confirmed
WCP-R00403,WCP-R00404,true,confirmed
WCP-R00419,WCP-R00420,true,confirmed
WCP-R00432,WCP-R00433,true,confirmed
WCP-R00437,WCP-R00438,true,confirmed
WCP-R00460,WCP-R00461,true,confirmed
WCP-R00481,WCP-R00482,true,confirmed
WCP-R00490,WCP-R00491,true,confirmed
WCP-R00495,WCP-R00496,true,confirmed
WCP-R00512,WCP-R00513,true,confirmed
WCP-R00534,WCP-R00535,true,confirmed
WCP-R00027,WCP-R00028,true,confirmed
WCP-R00112,WCP-R00986,true,confirmed
WCP-R00118,WCP-R00119,true,confirmed
WCP-R00147,WCP-R00148,true,confirmed
WCP-R00216,WCP-R00217,true,confirmed
WCP-R00221,WCP-R00222,true,confirmed
WCP-R00229,WCP-R00230,true,confirmed
WCP-R00255,WCP-R00256,true,confirmed
WCP-R00263,WCP-R00264,true,confirmed
WCP-R00283,WCP-R00284,true,confirmed
WCP-R00292,WCP-R00293,true,confirmed
WCP-R00308,WCP-R00309,true,confirmed
WCP-R00319,WCP-R00320,true,confirmed
WCP-R00367,WCP-R00368,true,confirmed
WCP-R00376,WCP-R00377,true,confirmed
WCP-R00379,WCP-R00380,true,confirmed
WCP-R00399,WCP-R00400,true,confirmed
WCP-R00415,WCP-R00416,true,confirmed
WCP-R00516,WCP-R00517,true,confirmed
WCP-R00521,WCP-R00522,true,confirmed
WCP-R00530,WCP-R00531,true,confirmed
WCP-R00548,WCP-R00549,true,confirmed
