allocation_id,payment_event_id,bill_record_id,allocated_amount_minor,currency,available_at,source_ref
AL000001,EV000004,CPL-R00002,5771,USD,2023-02-28T15:20:35+00:00,CPL/SRC/allocations/00004
AL000002,EV000006,CPL-R00003,4300,USD,2023-07-03T22:47:17+00:00,CPL/SRC/allocations/00007
AL000003,EV000006,CPL-R00004,4894,USD,2023-07-03T19:11:45+00:00,CPL/SRC/allocations/00007
AL000004,EV000009,CPL-R00005,12897,USD,2023-09-02T06:16:14+00:00,CPL/SRC/allocations/00009
AL000005,EV000014,CPL-R00008,4527,USD,2023-09-21T16:06:15+00:00,CPL/SRC/allocations/00014
AL000006,EV000016,CPL-R00009,7031,USD,2023-10-02T20:37:30+00:00,CPL/SRC/allocations/00016
AL000007,EV000019,CPL-R00011,10571,USD,2023-09-29T02:47:12+00:00,CPL/SRC/allocations/00019
AL000008,EV000021,CPL-R00012,20141,USD,2022-12-22T14:36:54+00:00,CPL/SRC/allocations/00021
AL000009,EV000023,CPL-R00013,6229,USD,2023-05-15T22:25:40+00:00,CPL/SRC/allocations/00023
AL000010,EV000025,CPL-R00014,7598,USD,2023-04-28T20:16:40+00:00,CPL/SRC/allocations/00025
AL000011,EV000028,CPL-R00016,5733,USD,2023-10-20T11:10:12+00:00,CPL/SRC/allocations/00028
AL000012,EV000030,CPL-R00017,11662,USD,2023-10-07T05:52:04+00:00,CPL/SRC/allocations/00031
AL000013,EV000030,CPL-R00018,6947,USD,2023-10-06T19:01:32+00:00,CPL/SRC/allocations/00031
AL000014,EV000033,CPL-R00019,38534,USD,2023-02-14T00:32:44+00:00,CPL/SRC/allocations/00033
AL000015,EV000035,CPL-R00020,4673,USD,2022-12-09T09:54:57+00:00,CPL/SRC/allocations/00035
AL000016,EV000038,CPL-R00022,4686,USD,2023-02-28T18:46:40+00:00,CPL/SRC/allocations/00038
AL000017,EV000040,CPL-R00023,2500,USD,2022-11-02T11:55:31+00:00,CPL/SRC/allocations/00040
AL000018,EV000042,CPL-R00024,6738,USD,2023-03-18T05:36:08+00:00,CPL/SRC/allocations/00042
AL000019,EV000044,CPL-R00025,54258,USD,2022-12-25T18:44:34+00:00,CPL/SRC/allocations/00044
AL000020,EV000046,CPL-R00026,5169,USD,2023-03-07T02:01:34+00:00,CPL/SRC/allocations/00046
AL000021,EV000049,CPL-R00028,4558,USD,2023-09-30T11:02:18+00:00,CPL/SRC/allocations/00049
AL000022,EV000053,CPL-R00030,6374,USD,2022-09-27T20:46:59+00:00,CPL/SRC/allocations/00053
AL000023,EV000057,CPL-R00032,2920,USD,2023-04-04T09:45:58+00:00,CPL/SRC/allocations/00057
AL000024,EV000059,CPL-R00033,3934,USD,2023-10-09T22:56:59+00:00,CPL/SRC/allocations/00059
AL000025,EV000061,CPL-R00034,37538,USD,2023-04-25T09:10:56+00:00,CPL/SRC/allocations/00061
AL000026,EV000063,CPL-R00035,3947,USD,2023-05-14T22:20:39+00:00,CPL/SRC/allocations/00063
AL000027,EV000065,CPL-R00036,177337,USD,2023-09-11T16:49:22+00:00,CPL/SRC/allocations/00066
AL000028,EV000065,CPL-R00037,88328,USD,2023-09-12T11:06:16+00:00,CPL/SRC/allocations/00066
AL000029,EV000068,CPL-R00038,57284,USD,2023-02-18T08:59:30+00:00,CPL/SRC/allocations/00068
AL000030,EV000070,CPL-R00039,14568,USD,2023-03-19T09:04:49+00:00,CPL/SRC/allocations/00070
AL000031,EV000072,CPL-R00040,11981,USD,2023-04-05T13:57:23+00:00,CPL/SRC/allocations/00072
AL000032,EV000077,CPL-R00043,4210,USD,2023-10-06T00:01:44+00:00,CPL/SRC/allocations/00077
AL000033,EV000079,CPL-R00044,34037,USD,2023-10-03T03:12:43+00:00,CPL/SRC/allocations/00079
AL000034,EV000081,CPL-R00045,2027,USD,2023-04-25T00:06:32+00:00,CPL/SRC/allocations/00081
AL000035,EV000083,CPL-R00046,13575,USD,2022-08-30T23:09:16+00:00,CPL/SRC/allocations/00083
AL000036,EV000085,CPL-R00047,33508,USD,2022-12-29T04:00:13+00:00,CPL/SRC/allocations/00086
AL000037,EV000085,CPL-R00048,20618,USD,2022-12-29T03:52:23+00:00,CPL/SRC/allocations/00086
AL000038,EV000088,CPL-R00049,10489,USD,2023-06-26T06:52:16+00:00,CPL/SRC/allocations/00088
AL000039,EV000090,CPL-R00050,27093,USD,2023-05-08T14:59:00+00:00,CPL/SRC/allocations/00090
AL000040,EV000093,CPL-R00052,12279,USD,2022-10-30T01:05:27+00:00,CPL/SRC/allocations/00093
AL000041,EV000097,CPL-R00054,2672,USD,2023-09-22T18:29:23+00:00,CPL/SRC/allocations/00097
AL000042,EV000099,CPL-R00055,5662,USD,2023-08-10T16:32:24+00:00,CPL/SRC/allocations/00099
AL000043,EV000101,CPL-R00056,2398,USD,2023-03-02T07:02:53+00:00,CPL/SRC/allocations/00101
AL000044,EV000106,CPL-R00059,13350,USD,2023-02-26T11:17:57+00:00,CPL/SRC/allocations/00106
AL000045,EV000108,CPL-R00060,83236,USD,2023-10-23T08:44:35+00:00,CPL/SRC/allocations/00108
AL000046,EV000110,CPL-R00061,37700,USD,2023-03-24T04:56:57+00:00,CPL/SRC/allocations/00110
AL000047,EV000114,CPL-R00063,10453,USD,2023-01-15T13:34:59+00:00,CPL/SRC/allocations/00114
AL000048,EV000116,CPL-R00064,12462,USD,2023-07-21T04:29:37+00:00,CPL/SRC/allocations/00116
AL000049,EV000118,CPL-R00065,10226,USD,2022-08-31T19:42:40+00:00,CPL/SRC/allocations/00118
AL000050,EV000124,CPL-R00069,19005,USD,2023-10-14T05:38:32+00:00,CPL/SRC/allocations/00125
AL000051,EV000124,CPL-R00070,18658,USD,2023-10-09T15:54:53+00:00,CPL/SRC/allocations/00125
