event_id,org_token,source_system,bill_record_id,event_type,event_at,available_at,amount_minor,currency,reverses_event_id,terminal_flag,source_ref
EV000001,WCP,WCP_CLAIMS,WCP-R00001,SUBMITTED,2023-07-17T15:03:00+00:00,2023-07-19T08:17:56+00:00,35144,USD,,false,CPL/SRC/events/00001
EV000002,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-08-07T15:28:00+00:00,2023-08-08T12:58:16+00:00,35144,USD,,false,CPL/SRC/events/00002
EV000003,WCP,WCP_CLAIMS,WCP-R00002,SUBMITTED,2023-02-16T22:27:00+00:00,2023-02-18T21:21:09+00:00,6135,USD,,false,CPL/SRC/events/00003
EV000004,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-03-01T18:00:00+00:00,2023-03-03T12:38:27+00:00,6135,USD,,false,CPL/SRC/events/00004
EV000005,WCP,WCP_CLAIMS,WCP-R00003,SUBMITTED,2023-02-13T19:02:00+00:00,2023-02-15T11:30:36+00:00,6503,USD,,false,CPL/SRC/events/00005
EV000006,WCP,WCP_CLAIMS,WCP-R00004,SUBMITTED,2023-06-05T16:36:00+00:00,2023-06-05T18:35:33+00:00,38800,USD,,false,CPL/SRC/events/00006
EV000007,WCP,WCP_CLAIMS,WCP-R00005,SUBMITTED,2022-07-07T15:29:00+00:00,2022-07-09T21:11:28+00:00,4392,USD,,false,CPL/SRC/events/00007
EV000008,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-07-27T20:14:00+00:00,2022-07-28T03:19:02+00:00,4392,USD,,false,CPL/SRC/events/00008
EV000009,WCP,WCP_CLAIMS,WCP-R00006,SUBMITTED,2023-03-10T20:32:00+00:00,2023-03-10T23:34:24+00:00,64852,USD,,false,CPL/SRC/events/00009
EV000010,WCP,WCP_CLAIMS,WCP-R00007,CORRECTED,2023-03-15T21:06:00+00:00,2023-03-19T11:50:24+00:00,58710,USD,,false,CPL/SRC/events/00010
EV000011,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-04-12T18:59:00+00:00,2023-04-15T14:07:26+00:00,58710,USD,,false,CPL/SRC/events/00011
EV000012,WCP,WCP_CLAIMS,WCP-R00007,PAYMENT_REVERSED,2023-04-17T21:30:00+00:00,2023-04-17T23:10:05+00:00,39677,USD,EV000011,false,CPL/SRC/events/00012
EV000013,WCP,WCP_CLAIMS,WCP-R00008,SUBMITTED,2022-11-21T22:51:00+00:00,2022-12-01T04:45:48+00:00,2602,USD,,false,CPL/SRC/events/00013
EV000014,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-12-12T19:46:00+00:00,2022-12-14T15:59:55+00:00,2602,USD,,false,CPL/SRC/events/00014
EV000015,WCP,WCP_CLAIMS,WCP-R00009,SUBMITTED,2023-06-05T19:40:00+00:00,2023-06-05T21:22:10+00:00,4641,USD,,false,CPL/SRC/events/00015
EV000016,WCP,WCP_CLAIMS,WCP-R00010,CORRECTED,2023-06-09T21:48:00+00:00,2023-06-11T14:37:17+00:00,4389,USD,,false,CPL/SRC/events/00016
EV000017,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2023-07-03T20:05:00+00:00,2023-07-03T23:26:03+00:00,4389,USD,,false,CPL/SRC/events/00017
EV000018,WCP,WCP_CLAIMS,WCP-R00011,SUBMITTED,2022-09-22T15:02:00+00:00,2022-09-22T17:05:49+00:00,9945,USD,,false,CPL/SRC/events/00018
EV000019,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-10-05T15:35:00+00:00,2022-10-05T21:02:18+00:00,9945,USD,,false,CPL/SRC/events/00019
EV000020,WCP,WCP_CLAIMS,WCP-R00012,SUBMITTED,2022-10-17T14:45:00+00:00,2022-10-29T01:00:14+00:00,211820,USD,,false,CPL/SRC/events/00020
EV000021,WCP,WCP_CLAIMS,,PAYMENT_POSTED,2022-10-31T18:18:00+00:00,2022-11-01T10:43:20+00:00,211820,USD,,false,CPL/SRC/events/00021
