run_id,as_of,method_version,left_record_id,right_record_id,decision,rule_ids,reason,score,score_kind,review_required
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00006,WCP-R00007,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00016,WCP-R00017,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00021,WCP-R00022,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00027,WCP-R00028,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00120,WCP-R00121,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00141,WCP-R00142,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00147,WCP-R00148,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00157,WCP-R00158,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00159,WCP-R00160,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00179,WCP-R00180,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00182,WCP-R00183,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00197,WCP-R00198,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00206,WCP-R00207,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00216,WCP-R00217,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00221,WCP-R00222,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
run-WCP-20260910T000000Z-A,2023-11-15T00:00:00+00:00,1.0.0,WCP-R00229,WCP-R00230,accepted,R1_native_previous_id,native explicit predecessor reference,,NOT_SCORED,false
