run_id,review_type,record_ids,detail,status
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00323|WCP-R00535,"same payer/service, amounts 4945/5200, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00534|WCP-R00535,"same payer/service, amounts 5519/5200, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00047|WCP-R00079,"same payer/service, amounts 6608/6634, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00047|WCP-R00434,"same payer/service, amounts 6608/6650, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00255|WCP-R00256,"same payer/service, amounts 9339/9788, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00255|WCP-R00257,"same payer/service, amounts 9339/8853, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00711|WCP-R01031,"same payer/service, amounts 2878/2846, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R01031|WCP-R01032,"same payer/service, amounts 2846/2830, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00666|WCP-R00987,"same payer/service, amounts 7062/7428, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R00986|WCP-R00987,"same payer/service, amounts 7910/7428, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R01120|WCP-R01229,"same payer/service, amounts 6044/5665, dates within 7d",pending
run-WCP-20260910T000000Z-A,MULTI_CANDIDATE_AMBIGUITY,WCP-R01228|WCP-R01229,"same payer/service, amounts 5532/5665, dates within 7d",pending
